"",BBK01.OEXB17K,BBK01.OEXB17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:33,
2002-01,4.285,
2002-04,4.347,
2002-07,4.437,
2002-10,4.655,
2003-01,4.673,
2003-04,5.290,
2003-07,6.431,
2003-10,5.738,
2004-01,6.679,
2004-04,5.742,
2004-07,5.811,
2004-10,6.625,
2005-01,5.954,
2005-04,5.850,
2005-07,6.239,
2005-10,6.368,
2006-01,6.356,
2006-04,6.464,
2006-07,6.559,
2006-10,6.806,
2007-01,6.734,
2007-04,6.741,
2007-07,6.857,
2007-10,6.955,
2008-01,6.937,
2008-04,6.901,
2008-07,6.901,
2008-10,7.469,
2009-01,7.578,
2009-04,7.625,
2009-07,7.737,
2009-10,7.855,
2010-01,7.778,
2010-04,7.599,
2010-07,7.514,
2010-10,7.888,
2011-01,7.812,
2011-04,7.807,
2011-07,7.908,
2011-10,7.946,
2012-01,7.927,
2012-04,7.980,
2012-07,7.925,
2012-10,7.964,
2013-01,8.066,
2013-04,8.190,
2013-07,8.302,
2013-10,8.439,
2014-01,8.519,
2014-04,8.662,
2014-07,8.792,
