"",BBFB1.M.N.DE.W1.S1.S1.T.D.G___AD._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G___AD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Supplementary trade items / To imports / Deductions / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:55,
1991-01,2717.470,
1991-02,2739.678,
1991-03,2792.544,
1991-04,2625.029,
1991-05,2836.459,
1991-06,2905.516,
1991-07,3119.824,
1991-08,2762.998,
1991-09,2720.726,
1991-10,2799.070,
1991-11,2721.692,
1991-12,2391.712,
1992-01,2873.702,
1992-02,2700.659,
1992-03,2912.123,
1992-04,2739.890,
1992-05,2355.899,
1992-06,2519.389,
1992-07,3098.649,
1992-08,2266.653,
1992-09,2828.966,
1992-10,2771.837,
1992-11,2777.444,
1992-12,3079.852,
1993-01,2478.567,
1993-02,2544.381,
1993-03,2576.570,
1993-04,2815.989,
1993-05,2724.847,
1993-06,2983.681,
1993-07,2846.097,
1993-08,2874.246,
1993-09,2950.843,
1993-10,3143.686,
1993-11,3100.211,
1993-12,3282.963,
1994-01,3083.716,
1994-02,2989.032,
1994-03,3231.976,
1994-04,3094.434,
1994-05,3097.826,
1994-06,3311.398,
1994-07,3372.422,
1994-08,3128.115,
1994-09,3341.548,
1994-10,3317.309,
1994-11,3367.586,
1994-12,3565.861,
1995-01,3279.641,
1995-02,3367.095,
1995-03,3471.465,
1995-04,3114.588,
1995-05,3257.726,
1995-06,3214.092,
1995-07,3165.547,
1995-08,3113.313,
1995-09,3189.040,
1995-10,3678.094,
1995-11,3673.781,
1995-12,3625.764,
1996-01,3340.527,
1996-02,3544.268,
1996-03,3735.451,
1996-04,3254.607,
1996-05,3241.882,
1996-06,3488.634,
1996-07,3663.990,
1996-08,3143.906,
1996-09,3704.072,
1996-10,3858.773,
1996-11,3620.218,
1996-12,3616.897,
1997-01,3574.694,
1997-02,3395.917,
1997-03,3371.382,
1997-04,3758.700,
1997-05,3783.399,
1997-06,3795.358,
1997-07,4034.879,
1997-08,3469.399,
1997-09,4084.200,
1997-10,3984.845,
1997-11,3920.077,
1997-12,3895.784,
1998-01,3887.764,
1998-02,3858.557,
1998-03,4631.763,
1998-04,3848.607,
1998-05,3710.283,
1998-06,4509.386,
1998-07,4451.283,
1998-08,3717.137,
1998-09,4277.993,
1998-10,4340.109,
1998-11,3878.068,
1998-12,4326.944,
1999-01,3540.265,
1999-02,3243.554,
1999-03,4496.673,
1999-04,3970.472,
1999-05,4043.756,
1999-06,4366.427,
1999-07,4287.238,
1999-08,4142.921,
1999-09,4705.030,
1999-10,4280.824,
1999-11,4882.077,
1999-12,4578.708,
2000-01,4300.142,
2000-02,4808.366,
2000-03,5558.433,
2000-04,4516.853,
2000-05,4994.532,
2000-06,5217.337,
2000-07,4933.204,
2000-08,4924.072,
2000-09,4961.116,
2000-10,5442.133,
2000-11,5236.682,
2000-12,4942.409,
2001-01,5072.516,
2001-02,5026.501,
2001-03,5263.579,
2001-04,5205.317,
2001-05,5276.509,
2001-06,5684.380,
2001-07,5608.618,
2001-08,5763.624,
2001-09,4860.052,
2001-10,5995.816,
2001-11,6123.894,
2001-12,5149.433,
2002-01,5165.232,
2002-02,6525.923,
2002-03,5683.425,
2002-04,6184.767,
2002-05,5228.149,
