"",BBK01.OEAH45T,BBK01.OEAH45T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:55,
2002-01,0.239,
2002-04,0.225,
2002-07,0.225,
2002-10,0.232,
2003-01,0.223,
2003-04,0.198,
2003-07,0.199,
2003-10,0.196,
2004-01,0.193,
2004-04,0.176,
2004-07,0.172,
2004-10,0.182,
2005-01,0.172,
2005-04,0.164,
2005-07,0.151,
2005-10,0.152,
2006-01,0.151,
2006-04,0.148,
2006-07,0.148,
2006-10,0.156,
2007-01,0.165,
2007-04,0.161,
2007-07,0.182,
2007-10,0.209,
2008-01,0.222,
2008-04,0.233,
2008-07,0.286,
2008-10,0.300,
2009-01,0.233,
2009-04,0.192,
2009-07,0.169,
2009-10,0.160,
2010-01,0.141,
2010-04,0.127,
2010-07,0.115,
2010-10,0.113,
2011-01,0.107,
2011-04,0.103,
2011-07,0.109,
2011-10,0.121,
2012-01,0.125,
2012-04,0.109,
2012-07,0.108,
2012-10,0.083,
2013-01,0.079,
2013-04,0.078,
2013-07,0.070,
2013-10,0.069,
2014-01,0.111,
2014-04,0.117,
2014-07,0.115,
