"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CH.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CH.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Switzerland / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:19,
2009-09,118,
2009-10,99,
2009-11,91,
2009-12,93,
2010-01,321,
2010-02,78,
2010-03,76,
2010-04,80,
2010-05,81,
2010-06,83,
2010-07,25,
2010-08,129,
2010-09,130,
2010-10,125,
2010-11,138,
2010-12,138,
2011-01,132,
2011-02,55,
2011-03,54,
2011-04,52,
2011-05,57,
2011-06,68,
2011-07,65,
2011-08,419,
2011-09,398,
2011-10,5019,
2011-11,939,
2011-12,710,
2012-01,944,
2012-02,955,
2012-03,1000,
2012-04,1024,
2012-05,1044,
2012-06,1030,
2012-07,1046,
2012-08,1043,
2012-09,259,
2012-10,258,
2012-11,47,
2012-12,46,
2013-01,45,
2013-02,46,
2013-03,45,
2013-04,41,
2013-05,55,
2013-06,51,
2013-07,40,
2013-08,43,
2013-09,84,
2013-10,115,
2013-11,126,
2013-12,132,
2014-01,131,
2014-02,199,
2014-03,177,
2014-04,208,
2014-05,241,
2014-06,247,
2014-07,241,
2014-08,242,
2014-09,247,
2014-10,241,
2014-11,246,
