"",BBK01.OEAC08H,BBK01.OEAC08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:19,
2002-01,7.820,
2002-04,7.053,
2002-07,9.508,
2002-10,8.220,
2003-01,10.234,
2003-04,9.629,
2003-07,10.366,
2003-10,9.095,
2004-01,13.067,
2004-04,11.807,
2004-07,12.382,
2004-10,12.547,
2005-01,11.174,
2005-04,12.815,
2005-07,16.037,
2005-10,10.529,
2006-01,22.452,
2006-04,16.978,
2006-07,24.392,
2006-10,16.783,
2007-01,23.360,
2007-04,18.329,
2007-07,23.113,
2007-10,16.216,
2008-01,27.714,
2008-04,34.199,
2008-07,34.668,
2008-10,15.391,
2009-01,21.781,
2009-04,23.978,
2009-07,25.370,
2009-10,18.073,
2010-01,23.308,
2010-04,21.749,
2010-07,24.491,
2010-10,21.099,
2011-01,18.020,
2011-04,19.094,
2011-07,16.375,
2011-10,16.694,
2012-01,23.254,
2012-04,18.841,
2012-07,24.187,
2012-10,19.782,
2013-01,25.017,
2013-04,27.196,
2013-07,14.442,
2013-10,15.319,
2014-01,14.972,
2014-04,14.842,
2014-07,16.412,
