"",BBK01.CELO0C,BBK01.CELO0C_FLAGS
"",Other deposits                                                 debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:00,
1999-01,-4.8,
1999-04,2.7,
1999-07,-1.5,
1999-10,9.6,
2000-01,-4.9,
2000-04,12.0,
2000-07,34.2,
2000-10,1.9,
2001-01,-34.5,
2001-04,-1.7,
2001-07,-3.0,
2001-10,-1.5,
2002-01,-7.2,
2002-04,0.4,
2002-07,-7.3,
2002-10,-1.9,
2003-01,-1.6,
2003-04,3.7,
2003-07,-4.0,
2003-10,0.8,
2004-01,-3.5,
2004-04,2.3,
2004-07,-1.2,
2004-10,-1.8,
2005-01,-9.1,
2005-04,2.8,
2005-07,0.2,
2005-10,7.6,
2006-01,-7.4,
2006-04,23.8,
2006-07,13.9,
2006-10,-4.0,
2007-01,-11.1,
2007-04,34.3,
2007-07,-26.1,
2007-10,12.4,
2008-01,-3.2,
2008-04,18.9,
2008-07,-11.2,
2008-10,-4.1,
2009-01,-19.5,
2009-04,18.6,
2009-07,-31.5,
2009-10,-1.4,
2010-01,1.5,
2010-04,-0.6,
2010-07,6.7,
2010-10,34.0,
2011-01,-4.6,
2011-04,17.1,
2011-07,4.0,
2011-10,10.4,
2012-01,1.4,
2012-04,20.4,
2012-07,-2.4,
2012-10,-23.1,
2013-01,-9.9,
2013-04,0.3,
2013-07,-2.5,
2013-10,8.7,
2014-01,0.4,
2014-04,6.2,
2014-07,7.4,
