"",BBK01.OEAD02N,BBK01.OEAD02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:23,
2002-01,2.145,
2002-04,2.330,
2002-07,2.143,
2002-10,2.105,
2003-01,2.121,
2003-04,2.330,
2003-07,1.977,
2003-10,1.875,
2004-01,1.856,
2004-04,1.775,
2004-07,1.639,
2004-10,1.605,
2005-01,1.727,
2005-04,1.624,
2005-07,1.560,
2005-10,2.971,
2006-01,1.953,
2006-04,2.509,
2006-07,2.539,
2006-10,2.592,
2007-01,3.219,
2007-04,2.850,
2007-07,2.747,
2007-10,2.141,
2008-01,2.230,
2008-04,2.433,
2008-07,2.346,
2008-10,2.252,
2009-01,2.245,
2009-04,2.205,
2009-07,2.226,
2009-10,2.114,
2010-01,2.107,
2010-04,2.071,
2010-07,2.039,
2010-10,2.037,
2011-01,2.021,
2011-04,2.122,
2011-07,2.118,
2011-10,2.083,
2012-01,2.182,
2012-04,2.229,
2012-07,2.210,
2012-10,2.119,
2013-01,1.975,
2013-04,1.886,
2013-07,1.808,
2013-10,1.772,
2014-01,1.815,
2014-04,1.849,
2014-07,1.714,
