"",BBK01.PQN361,BBK01.PQN361_FLAGS
"",Lending to domestic self-employed persons / Long-term / Banks with special functions,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:30,
1968-10,0.828,
1969-01,0.841,
1969-04,0.845,
1969-07,0.853,
1969-10,0.856,
1970-01,0.866,
1970-04,0.867,
1970-07,0.874,
1970-10,1.623,
1971-01,1.629,
1971-04,1.636,
1971-07,1.657,
1971-10,1.718,
1972-01,1.731,
1972-04,1.733,
1972-07,1.756,
1972-10,1.755,
1973-01,1.777,
1973-04,1.817,
1973-07,1.828,
1973-10,1.842,
1974-01,1.847,
1974-04,1.844,
1974-07,1.845,
1974-10,1.850,
1975-01,1.861,
1975-04,1.851,
1975-07,1.864,
1975-10,1.886,
1976-01,1.904,
1976-04,1.918,
1976-07,1.950,
1976-10,1.948,
1977-01,1.933,
1977-04,1.937,
1977-07,1.945,
1977-10,1.958,
1978-01,1.966,
1978-04,1.961,
1978-07,1.966,
1978-10,1.966,
1979-01,1.969,
1979-04,1.972,
1979-07,1.979,
1979-10,1.986,
1980-01,1.989,
1980-04,1.992,
1980-07,2.002,
1980-10,2.010,
1981-01,2.030,
1981-04,2.026,
1981-07,2.045,
1981-10,2.048,
1982-01,2.057,
1982-04,2.051,
1982-07,2.071,
1982-10,2.093,
1983-01,2.120,
1983-04,2.147,
1983-07,2.186,
1983-10,2.228,
1984-01,2.159,
1984-04,1.977,
1984-07,2.038,
1984-10,2.086,
1985-01,2.134,
1985-04,2.172,
1985-07,2.232,
1985-10,2.287,
1986-01,2.337,
1986-04,2.380,
1986-07,2.427,
1986-10,2.479,
1987-01,2.528,
1987-04,2.558,
1987-07,2.609,
1987-10,2.667,
1988-01,2.720,
1988-04,2.768,
1988-07,2.824,
1988-10,2.868,
1989-01,2.908,
1989-04,2.956,
1989-07,3.043,
1989-10,3.080,
1990-01,3.116,
1990-04,3.246,
1990-07,3.291,
1990-10,3.372,
1991-01,3.513,
1991-04,3.736,
1991-07,4.193,
1991-10,4.714,
1992-01,5.271,
1992-04,5.758,
1992-07,6.319,
1992-10,6.780,
1993-01,7.167,
1993-04,7.583,
1993-07,8.031,
1993-10,8.428,
1994-01,8.741,
1994-04,9.008,
1994-07,9.372,
1994-10,10.103,
1995-01,10.340,
1995-04,10.642,
1995-07,11.092,
1995-10,11.454,
1996-01,11.718,
1996-04,11.995,
1996-07,12.115,
1996-10,12.232,
1997-01,12.268,
1997-04,12.282,
1997-07,12.270,
1997-10,12.139,
1998-01,12.099,
1998-04,11.984,
1998-07,11.680,
1998-10,12.134,
1999-01,11.454,
1999-04,11.199,
1999-07,10.869,
1999-10,10.533,
2000-01,10.255,
2000-04,9.513,
2000-07,9.337,
2000-10,9.098,
2001-01,8.942,
2001-04,8.701,
2001-07,8.548,
2001-10,8.249,
2002-01,7.680,
2002-04,7.352,
2002-07,7.339,
2002-10,7.082,
2003-01,6.773,
2003-04,6.896,
2003-07,6.806,
2003-10,6.546,
2004-01,6.402,
2004-04,6.152,
2004-07,6.271,
2004-10,3.779,
2005-01,3.723,
2005-04,3.664,
2005-07,4.021,
2005-10,3.931,
2006-01,5.741,
2006-04,5.710,
2006-07,5.672,
2006-10,5.674,
2007-01,5.561,
2007-04,5.495,
2007-07,5.477,
2007-10,5.448,
2008-01,5.328,
2008-04,5.265,
2008-07,5.243,
2008-10,5.277,
2009-01,5.177,
2009-04,5.137,
2009-07,5.097,
2009-10,5.071,
2010-01,4.990,
2010-04,4.899,
2010-07,4.859,
2010-10,4.819,
2011-01,4.768,
2011-04,4.702,
2011-07,4.497,
2011-10,4.519,
2012-01,4.449,
2012-04,4.399,
2012-07,4.339,
2012-10,4.246,
2013-01,4.152,
2013-04,4.113,
2013-07,4.109,
2013-10,5.140,
2014-01,5.358,
2014-04,5.270,
2014-07,5.260,
2014-10,5.113,
