"",BBK01.OECJ04J,BBK01.OECJ04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:30,
2002-01,0.375,
2002-04,0.380,
2002-07,0.316,
2002-10,0.302,
2003-01,0.312,
2003-04,0.362,
2003-07,0.309,
2003-10,0.238,
2004-01,0.247,
2004-04,0.156,
2004-07,0.182,
2004-10,0.256,
2005-01,0.215,
2005-04,0.193,
2005-07,0.190,
2005-10,0.397,
2006-01,0.318,
2006-04,0.229,
2006-07,0.261,
2006-10,0.252,
2007-01,0.201,
2007-04,0.179,
2007-07,0.408,
2007-10,0.549,
2008-01,0.486,
2008-04,0.597,
2008-07,0.651,
2008-10,0.671,
2009-01,0.679,
2009-04,0.600,
2009-07,0.609,
2009-10,0.643,
2010-01,0.600,
2010-04,0.519,
2010-07,0.500,
2010-10,0.544,
2011-01,0.602,
2011-04,0.495,
2011-07,0.549,
2011-10,0.499,
2012-01,0.474,
2012-04,0.567,
2012-07,0.479,
2012-10,0.462,
2013-01,0.398,
2013-04,0.360,
2013-07,0.334,
2013-10,0.262,
2014-01,0.435,
2014-04,0.454,
2014-07,0.371,
