"",BBFB1.Q.N.DE.FR.S1.S1.T.D.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FR.S1.S1.T.D.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Expenditure / France,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:19,
1991-01,581.792,
1991-04,441.822,
1991-07,457.029,
1991-10,455.040,
1992-01,311.512,
1992-04,303.007,
1992-07,319.002,
1992-10,342.066,
1993-01,362.357,
1993-04,385.885,
1993-07,393.148,
1993-10,369.719,
1994-01,311.529,
1994-04,302.272,
1994-07,316.905,
1994-10,303.559,
1995-01,619.070,
1995-04,615.771,
1995-07,614.839,
1995-10,607.950,
1996-01,447.227,
1996-04,443.273,
1996-07,457.263,
1996-10,453.176,
1997-01,449.445,
1997-04,451.748,
1997-07,466.987,
1997-10,448.308,
1998-01,620.442,
1998-04,637.101,
1998-07,674.177,
1998-10,735.171,
1999-01,679.460,
1999-04,755.375,
1999-07,771.899,
1999-10,773.816,
2000-01,1119.983,
2000-04,1259.588,
2000-07,1287.793,
2000-10,1398.518,
2001-01,888.260,
2001-04,1072.111,
2001-07,982.165,
2001-10,958.406,
2002-01,949.842,
2002-04,1027.377,
2002-07,979.246,
2002-10,1037.262,
2003-01,966.017,
2003-04,1102.476,
2003-07,973.640,
2003-10,928.160,
2004-01,1330.372,
2004-04,1315.547,
2004-07,1131.637,
2004-10,1193.168,
2005-01,1763.433,
2005-04,1975.864,
2005-07,1828.760,
2005-10,1850.541,
2006-01,1831.068,
2006-04,1949.078,
2006-07,1689.624,
2006-10,1707.039,
2007-01,1142.216,
2007-04,1481.330,
2007-07,1126.371,
2007-10,1139.997,
2008-01,1330.164,
2008-04,1530.139,
2008-07,1330.377,
2008-10,1324.459,
2009-01,1528.925,
2009-04,1675.742,
2009-07,1577.929,
2009-10,1611.746,
2010-01,1285.103,
2010-04,1523.724,
2010-07,1479.404,
2010-10,1545.660,
2011-01,1517.939,
2011-04,2397.934,
2011-07,1784.999,
2011-10,1703.640,
2012-01,2016.811,
2012-04,2133.509,
2012-07,1982.017,
2012-10,1976.147,
2013-01,946.226,
2013-04,1113.729,
2013-07,929.527,
2013-10,926.684,
2014-01,1307.699,Provisional value
2014-04,1958.702,Provisional value
2014-07,1371.055,Provisional value
