"",BBK01.OELJ07I,BBK01.OELJ07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:57,
2002-01,0.199,
2002-04,0.161,
2002-07,0.161,
2002-10,0.165,
2003-01,0.163,
2003-04,0.150,
2003-07,0.039,
2003-10,0.038,
2004-01,0.042,
2004-04,0.059,
2004-07,0.057,
2004-10,0.058,
2005-01,0.057,
2005-04,0.061,
2005-07,0.062,
2005-10,0.064,
2006-01,0.064,
2006-04,0.058,
2006-07,0.052,
2006-10,0.052,
2007-01,0.055,
2007-04,0.054,
2007-07,0.055,
2007-10,0.056,
2008-01,0.058,
2008-04,0.057,
2008-07,0.057,
2008-10,0.057,
2009-01,0.062,
2009-04,0.062,
2009-07,0.066,
2009-10,0.069,
2010-01,0.097,
2010-04,0.103,
2010-07,0.095,
2010-10,0.095,
2011-01,0.095,
2011-04,0.091,
2011-07,0.073,
2011-10,0.071,
2012-01,0.067,
2012-04,0.082,
2012-07,0.098,
2012-10,0.104,
2013-01,0.131,
2013-04,0.161,
2013-07,0.167,
2013-10,0.171,
2014-01,0.197,
2014-04,0.195,
2014-07,0.208,
