"",BBK01.OEAK06U,BBK01.OEAK06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:41,
2002-01,0.067,
2002-04,0.067,
2002-07,0.068,
2002-10,0.071,
2003-01,0.068,
2003-04,0.066,
2003-07,0.064,
2003-10,0.067,
2004-01,0.068,
2004-04,0.067,
2004-07,0.064,
2004-10,0.067,
2005-01,0.066,
2005-04,0.062,
2005-07,0.061,
2005-10,0.061,
2006-01,0.063,
2006-04,0.063,
2006-07,0.068,
2006-10,0.071,
2007-01,0.077,
2007-04,0.084,
2007-07,0.092,
2007-10,0.097,
2008-01,0.103,
2008-04,0.109,
2008-07,0.119,
2008-10,0.135,
2009-01,0.124,
2009-04,0.119,
2009-07,0.104,
2009-10,0.087,
2010-01,0.082,
2010-04,0.081,
2010-07,0.079,
2010-10,0.082,
2011-01,0.083,
2011-04,0.092,
2011-07,0.094,
2011-10,0.100,
2012-01,0.094,
2012-04,0.085,
2012-07,0.083,
2012-10,0.080,
2013-01,0.073,
2013-04,0.066,
2013-07,0.062,
2013-10,0.058,
2014-01,0.056,
2014-04,0.050,
2014-07,0.047,
