"",BBK01.OECI01K,BBK01.OECI01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:21,
2002-01,7.213,
2002-04,7.261,
2002-07,7.743,
2002-10,8.037,
2003-01,7.402,
2003-04,7.511,
2003-07,7.614,
2003-10,7.661,
2004-01,7.425,
2004-04,8.069,
2004-07,8.343,
2004-10,16.293,
2005-01,16.162,
2005-04,16.502,
2005-07,16.258,
2005-10,16.163,
2006-01,16.228,
2006-04,16.602,
2006-07,17.131,
2006-10,17.741,
2007-01,18.604,
2007-04,18.763,
2007-07,19.386,
2007-10,21.105,
2008-01,20.429,
2008-04,20.771,
2008-07,21.366,
2008-10,22.865,
2009-01,23.244,
2009-04,23.837,
2009-07,22.897,
2009-10,23.443,
2010-01,23.520,
2010-04,24.142,
2010-07,23.623,
2010-10,24.464,
2011-01,22.828,
2011-04,22.948,
2011-07,22.943,
2011-10,24.115,
2012-01,25.134,
2012-04,25.698,
2012-07,26.272,
2012-10,28.303,
2013-01,26.896,
2013-04,26.287,
2013-07,27.328,
2013-10,27.026,
2014-01,26.857,
2014-04,26.964,
2014-07,28.490,
