"",BBK01.OEAH44M,BBK01.OEAH44M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:53,
2002-01,4.994,
2002-04,4.988,
2002-07,5.099,
2002-10,5.307,
2003-01,5.110,
2003-04,5.403,
2003-07,5.334,
2003-10,5.667,
2004-01,5.435,
2004-04,5.521,
2004-07,5.630,
2004-10,6.024,
2005-01,6.068,
2005-04,6.311,
2005-07,6.408,
2005-10,6.900,
2006-01,6.523,
2006-04,6.517,
2006-07,6.505,
2006-10,7.062,
2007-01,6.690,
2007-04,6.742,
2007-07,6.726,
2007-10,7.319,
2008-01,6.753,
2008-04,6.676,
2008-07,6.639,
2008-10,7.372,
2009-01,7.937,
2009-04,8.347,
2009-07,8.727,
2009-10,9.417,
2010-01,9.450,
2010-04,9.555,
2010-07,9.864,
2010-10,10.313,
2011-01,9.962,
2011-04,9.813,
2011-07,10.191,
2011-10,10.962,
2012-01,10.847,
2012-04,10.884,
2012-07,11.422,
2012-10,12.118,
2013-01,11.896,
2013-04,11.879,
2013-07,12.324,
2013-10,13.016,
2014-01,12.874,
2014-04,12.728,
2014-07,13.287,
