"",BBK01.BJ8065,BBK01.BJ8065_FLAGS
"",General government debt as defined in the Maastricht Treaty as a % of GDP - Germany - central government,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:19,
1991,22.9,
1992,25.0,
1993,27.2,
1994,28.7,
1995,35.4,
1996,37.1,
1997,37.7,
1998,38.1,
1999,38.7,
2000,37.8,
2001,35.9,
2002,36.4,
2003,38.4,
2004,39.4,
2005,40.9,
2006,40.8,
2007,39.1,
2008,39.5,
2009,43.9,
2010,51.2,Provisional value
2011,49.2,Provisional value
2012,49.9,Provisional value
2013,49.0,Provisional value
