"",BBK01.OEAH61N,BBK01.OEAH61N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:33,
2002-01,14.270,
2002-04,14.517,
2002-07,14.675,
2002-10,15.106,
2003-01,15.252,
2003-04,15.327,
2003-07,15.058,
2003-10,15.280,
2004-01,15.218,
2004-04,15.475,
2004-07,15.571,
2004-10,13.898,
2005-01,14.477,
2005-04,14.435,
2005-07,13.829,
2005-10,13.750,
2006-01,13.857,
2006-04,14.012,
2006-07,14.090,
2006-10,14.298,
2007-01,14.521,
2007-04,14.772,
2007-07,15.112,
2007-10,16.203,
2008-01,16.692,
2008-04,17.042,
2008-07,14.977,
2008-10,15.498,
2009-01,15.258,
2009-04,15.792,
2009-07,15.955,
2009-10,15.989,
2010-01,15.801,
2010-04,15.876,
2010-07,15.869,
2010-10,16.272,
2011-01,16.594,
2011-04,16.993,
2011-07,17.515,
2011-10,18.794,
2012-01,19.967,
2012-04,19.998,
2012-07,19.899,
2012-10,21.040,
2013-01,20.755,
2013-04,20.919,
2013-07,20.867,
2013-10,21.996,
2014-01,22.257,
2014-04,22.530,
2014-07,23.156,
