"",BBSF2.M.1.S.I1252.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1252.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Other insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:31,
2009-09,26645,
2009-10,25460,
2009-11,25464,
2009-12,26211,
2010-01,26475,
2010-02,26135,
2010-03,26690,
2010-04,27223,
2010-05,26763,
2010-06,26776,
2010-07,27112,
2010-08,27549,
2010-09,27722,
2010-10,27842,
2010-11,27561,
2010-12,29150,
2011-01,29378,
2011-02,29421,
2011-03,29340,
2011-04,29818,
2011-05,29827,
2011-06,29594,
2011-07,29682,
2011-08,28575,
2011-09,28307,
2011-10,29042,
2011-11,29861,
2011-12,30040,
2012-01,29724,
2012-02,30793,
2012-03,30703,
2012-04,30775,
2012-05,30965,
2012-06,30779,
2012-07,31405,
2012-08,31969,
2012-09,32937,
2012-10,33458,
2012-11,33934,
2012-12,33832,
2013-01,34264,
2013-02,34865,
2013-03,35977,
2013-04,36997,
2013-05,37546,
2013-06,36802,
2013-07,37697,
2013-08,37652,
2013-09,38199,
2013-10,38871,
2013-11,38780,
2013-12,39249,
2014-01,39438,
2014-02,40329,
2014-03,40655,
2014-04,41363,
2014-05,42558,
2014-06,43215,
2014-07,44223,
2014-08,46581,
2014-09,46880,
2014-10,47385,
2014-11,47701,
