"",BBK01.CEFJ01,BBK01.CEFJ01_FLAGS
"",Unlisted shares                                       debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:56,
1999-01,296.4,
1999-04,288.6,
1999-07,267.3,
1999-10,371.7,
2000-01,465.0,
2000-04,437.0,
2000-07,429.9,
2000-10,360.7,
2001-01,346.4,
2001-04,340.7,
2001-07,303.2,
2001-10,360.7,
2002-01,395.3,
2002-04,369.4,
2002-07,221.1,
2002-10,195.7,
2003-01,183.6,
2003-04,230.6,
2003-07,231.7,
2003-10,244.2,
2004-01,244.0,
2004-04,255.9,
2004-07,250.0,
2004-10,254.2,
2005-01,261.5,
2005-04,274.6,
2005-07,306.8,
2005-10,317.1,
2006-01,549.8,
2006-04,541.8,
2006-07,590.7,
2006-10,606.9,
2007-01,631.8,
2007-04,670.2,
2007-07,655.0,
2007-10,663.7,
2008-01,602.1,
2008-04,591.1,
2008-07,553.7,
2008-10,524.7,
2009-01,495.0,
2009-04,554.5,
2009-07,610.7,
2009-10,607.2,
2010-01,646.8,
2010-04,629.8,
2010-07,628.9,
2010-10,662.1,
2011-01,667.7,
2011-04,675.0,
2011-07,574.1,
2011-10,600.5,
2012-01,668.5,
2012-04,630.3,
2012-07,674.4,
2012-10,700.2,
2013-01,728.6,
2013-04,671.7,
2013-07,708.7,
2013-10,756.7,
2014-01,760.8,
2014-04,762.8,
2014-07,795.2,
