"",BBK01.OEAB24N,BBK01.OEAB24N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:36,
2002-01,75.489,
2002-04,76.820,
2002-07,76.828,
2002-10,72.396,
2003-01,69.143,
2003-04,68.594,
2003-07,68.186,
2003-10,62.596,
2004-01,64.349,
2004-04,63.415,
2004-07,62.230,
2004-10,52.861,
2005-01,56.337,
2005-04,56.852,
2005-07,57.934,
2005-10,58.386,
2006-01,58.136,
2006-04,57.824,
2006-07,58.534,
2006-10,59.170,
2007-01,56.834,
2007-04,57.426,
2007-07,57.673,
2007-10,57.538,
2008-01,55.633,
2008-04,56.793,
2008-07,45.302,
2008-10,46.050,
2009-01,45.683,
2009-04,47.120,
2009-07,48.115,
2009-10,48.607,
2010-01,49.179,
2010-04,50.322,
2010-07,50.110,
2010-10,50.868,
2011-01,50.120,
2011-04,49.648,
2011-07,49.606,
2011-10,49.711,
2012-01,49.382,
2012-04,49.248,
2012-07,49.475,
2012-10,49.274,
2013-01,47.640,
2013-04,47.369,
2013-07,45.545,
2013-10,45.412,
2014-01,45.166,
2014-04,44.703,
2014-07,44.439,
