"",BBK01.OEBK03V,BBK01.OEBK03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:08,
2002-01,0.378,
2002-04,0.365,
2002-07,0.362,
2002-10,0.373,
2003-01,0.370,
2003-04,0.356,
2003-07,0.377,
2003-10,0.370,
2004-01,0.374,
2004-04,0.310,
2004-07,0.312,
2004-10,0.314,
2005-01,0.316,
2005-04,0.328,
2005-07,0.256,
2005-10,0.268,
2006-01,0.306,
2006-04,0.299,
2006-07,0.296,
2006-10,0.320,
2007-01,0.334,
2007-04,0.355,
2007-07,0.393,
2007-10,0.421,
2008-01,0.449,
2008-04,0.445,
2008-07,0.470,
2008-10,0.426,
2009-01,0.261,
2009-04,0.223,
2009-07,0.178,
2009-10,0.151,
2010-01,0.121,
2010-04,0.109,
2010-07,0.089,
2010-10,0.087,
2011-01,0.096,
2011-04,0.132,
2011-07,0.126,
2011-10,0.133,
2012-01,0.092,
2012-04,0.829,
2012-07,0.818,
2012-10,0.804,
2013-01,0.803,
2013-04,0.801,
2013-07,0.796,
2013-10,0.790,
2014-01,0.791,
2014-04,0.786,
2014-07,0.784,
