"",BBK01.OEHL09T,BBK01.OEHL09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:29,
2002-01,1.909,
2002-04,1.882,
2002-07,1.849,
2002-10,1.889,
2003-01,1.805,
2003-04,1.682,
2003-07,1.582,
2003-10,1.719,
2004-01,1.661,
2004-04,1.623,
2004-07,1.634,
2004-10,1.678,
2005-01,1.663,
2005-04,1.624,
2005-07,1.555,
2005-10,1.601,
2006-01,1.605,
2006-04,1.583,
2006-07,1.586,
2006-10,1.704,
2007-01,1.717,
2007-04,1.718,
2007-07,1.745,
2007-10,1.844,
2008-01,1.871,
2008-04,1.801,
2008-07,1.777,
2008-10,2.014,
2009-01,1.872,
2009-04,1.793,
2009-07,1.626,
2009-10,1.677,
2010-01,1.536,
2010-04,1.413,
2010-07,1.344,
2010-10,1.291,
2011-01,1.235,
2011-04,1.190,
2011-07,1.216,
2011-10,1.265,
2012-01,1.239,
2012-04,1.211,
2012-07,1.182,
2012-10,1.200,
2013-01,1.167,
2013-04,1.122,
2013-07,1.088,
2013-10,1.060,
2014-01,1.049,
2014-04,1.029,
2014-07,1.001,
