"",BBK01.OELB07P,BBK01.OELB07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:45,
2002-01,0.555,
2002-04,0.542,
2002-07,0.538,
2002-10,0.523,
2003-01,0.511,
2003-04,0.503,
2003-07,0.496,
2003-10,0.487,
2004-01,0.444,
2004-04,0.437,
2004-07,0.414,
2004-10,0.392,
2005-01,0.378,
2005-04,0.371,
2005-07,0.360,
2005-10,0.354,
2006-01,0.350,
2006-04,0.348,
2006-07,0.350,
2006-10,0.351,
2007-01,0.338,
2007-04,0.334,
2007-07,0.333,
2007-10,0.344,
2008-01,0.344,
2008-04,0.370,
2008-07,0.382,
2008-10,0.377,
2009-01,0.386,
2009-04,0.410,
2009-07,0.418,
2009-10,0.442,
2010-01,0.448,
2010-04,0.464,
2010-07,0.468,
2010-10,0.465,
2011-01,0.492,
2011-04,0.498,
2011-07,0.517,
2011-10,0.530,
2012-01,0.538,
2012-04,0.561,
2012-07,0.559,
2012-10,0.557,
2013-01,0.549,
2013-04,0.548,
2013-07,0.536,
2013-10,0.511,
2014-01,0.515,
2014-04,0.515,
2014-07,0.504,
