"",BBK01.OEAH22J,BBK01.OEAH22J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:03,
2002-01,0.685,
2002-04,0.679,
2002-07,0.660,
2002-10,0.635,
2003-01,0.640,
2003-04,0.640,
2003-07,0.618,
2003-10,0.578,
2004-01,0.586,
2004-04,0.569,
2004-07,0.554,
2004-10,0.561,
2005-01,0.557,
2005-04,0.530,
2005-07,0.528,
2005-10,0.522,
2006-01,0.520,
2006-04,0.517,
2006-07,0.540,
2006-10,0.581,
2007-01,0.633,
2007-04,0.653,
2007-07,0.695,
2007-10,0.735,
2008-01,0.795,
2008-04,0.837,
2008-07,0.894,
2008-10,0.908,
2009-01,0.863,
2009-04,0.773,
2009-07,0.697,
2009-10,0.600,
2010-01,0.577,
2010-04,0.590,
2010-07,0.583,
2010-10,0.631,
2011-01,0.661,
2011-04,0.685,
2011-07,0.699,
2011-10,0.695,
2012-01,0.667,
2012-04,0.658,
2012-07,0.648,
2012-10,0.639,
2013-01,0.555,
2013-04,0.540,
2013-07,0.527,
2013-10,0.487,
2014-01,0.459,
2014-04,0.450,
2014-07,0.423,
