"",BBFB1.Q.N.DE.GR.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:26,
1991-01,3.459,
1991-04,0.678,
1991-07,0.438,
1991-10,3.086,
1992-01,2.721,
1992-04,1.375,
1992-07,0.696,
1992-10,1.490,
1993-01,5.172,
1993-04,2.456,
1993-07,1.699,
1993-10,1.922,
1994-01,2.240,
1994-04,4.503,
1994-07,0.761,
1994-10,2.012,
1995-01,3.442,
1995-04,1.793,
1995-07,1.359,
1995-10,1.764,
1996-01,2.495,
1996-04,3.531,
1996-07,4.527,
1996-10,2.314,
1997-01,1.541,
1997-04,1.255,
1997-07,0.714,
1997-10,2.227,
1998-01,1.140,
1998-04,1.687,
1998-07,1.178,
1998-10,13.573,
1999-01,1.017,
1999-04,1.795,
1999-07,1.229,
1999-10,2.464,
2000-01,1.623,
2000-04,4.611,
2000-07,6.802,
2000-10,1.531,
2001-01,0.486,
2001-04,1.143,
2001-07,0.695,
2001-10,0.892,
2002-01,0.291,
2002-04,1.341,
2002-07,0.774,
2002-10,1.918,
2003-01,1.112,
2003-04,3.206,
2003-07,1.354,
2003-10,2.442,
2004-01,0.435,
2004-04,1.326,
2004-07,0.225,
2004-10,1.101,
2005-01,0.797,
2005-04,1.387,
2005-07,0.661,
2005-10,0.769,
2006-01,0.906,
2006-04,0.891,
2006-07,0.600,
2006-10,0.808,
2007-01,0.598,
2007-04,0.847,
2007-07,0.511,
2007-10,1.882,
2008-01,1.220,
2008-04,1.507,
2008-07,1.154,
2008-10,1.255,
2009-01,2.528,
2009-04,1.246,
2009-07,0.516,
2009-10,1.016,
2010-01,0.942,
2010-04,1.496,
2010-07,2.275,
2010-10,0.529,
2011-01,2.468,
2011-04,3.070,
2011-07,2.739,
2011-10,2.538,
2012-01,1.844,
2012-04,2.616,
2012-07,1.434,
2012-10,2.231,
2013-01,1.268,
2013-04,1.580,
2013-07,1.347,
2013-10,1.685,
2014-01,0.201,Provisional value
2014-04,0.641,Provisional value
2014-07,0.305,Provisional value
