"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.CH.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.CH.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Switzerland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:20,
2009-09,10057,
2009-10,9764,
2009-11,9783,
2009-12,10261,
2010-01,10434,
2010-02,10834,
2010-03,11474,
2010-04,10874,
2010-05,10210,
2010-06,10614,
2010-07,10322,
2010-08,10686,
2010-09,10753,
2010-10,10871,
2010-11,11505,
2010-12,12445,
2011-01,11645,
2011-02,11482,
2011-03,10976,
2011-04,11470,
2011-05,12130,
2011-06,11439,
2011-07,11354,
2011-08,10177,
2011-09,9721,
2011-10,10154,
2011-11,9845,
2011-12,10564,
2012-01,10687,
2012-02,10883,
2012-03,11192,
2012-04,11036,
2012-05,10487,
2012-06,10656,
2012-07,11278,
2012-08,11339,
2012-09,11346,
2012-10,11439,
2012-11,11805,
2012-12,11913,
2013-01,12415,
2013-02,12969,
2013-03,13482,
2013-04,13665,
2013-05,13503,
2013-06,13349,
2013-07,13752,
2013-08,13849,
2013-09,14449,
2013-10,14925,
2013-11,14896,
2013-12,14913,
2014-01,14881,
2014-02,15557,
2014-03,15401,
2014-04,15403,
2014-05,15958,
2014-06,15801,
2014-07,15688,
2014-08,16142,
2014-09,16379,
2014-10,16438,
2014-11,16907,
