"",BBK01.OEBO01N,BBK01.OEBO01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:16,
2002-01,40.058,
2002-04,40.953,
2002-07,38.886,
2002-10,38.939,
2003-01,42.136,
2003-04,43.434,
2003-07,43.528,
2003-10,44.682,
2004-01,46.717,
2004-04,47.260,
2004-07,47.328,
2004-10,12.669,
2005-01,20.479,
2005-04,20.636,
2005-07,20.727,
2005-10,19.669,
2006-01,19.514,
2006-04,18.708,
2006-07,18.335,
2006-10,17.832,
2007-01,18.636,
2007-04,19.332,
2007-07,19.211,
2007-10,19.276,
2008-01,21.209,
2008-04,22.652,
2008-07,21.531,
2008-10,20.722,
2009-01,26.638,
2009-04,27.107,
2009-07,30.307,
2009-10,28.702,
2010-01,27.200,
2010-04,25.983,
2010-07,25.449,
2010-10,25.102,
2011-01,26.395,
2011-04,26.699,
2011-07,26.016,
2011-10,25.660,
2012-01,25.226,
2012-04,26.204,
2012-07,25.944,
2012-10,25.746,
2013-01,25.198,
2013-04,23.515,
2013-07,22.734,
2013-10,22.296,
2014-01,22.232,
2014-04,21.770,
2014-07,21.288,
