"",BBK01.OEBI04V,BBK01.OEBI04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:37,
2002-01,5.763,
2002-04,4.134,
2002-07,3.980,
2002-10,6.163,
2003-01,2.836,
2003-04,2.875,
2003-07,3.743,
2003-10,2.927,
2004-01,2.448,
2004-04,2.123,
2004-07,2.148,
2004-10,2.216,
2005-01,2.054,
2005-04,2.003,
2005-07,1.905,
2005-10,2.071,
2006-01,2.079,
2006-04,2.354,
2006-07,2.763,
2006-10,2.746,
2007-01,3.091,
2007-04,3.185,
2007-07,3.432,
2007-10,3.760,
2008-01,4.253,
2008-04,4.607,
2008-07,5.026,
2008-10,4.473,
2009-01,3.449,
2009-04,3.061,
2009-07,2.448,
2009-10,2.157,
2010-01,2.072,
2010-04,1.986,
2010-07,1.774,
2010-10,1.719,
2011-01,2.085,
2011-04,1.956,
2011-07,2.351,
2011-10,3.257,
2012-01,3.569,
2012-04,4.285,
2012-07,3.957,
2012-10,3.555,
2013-01,3.541,
2013-04,3.795,
2013-07,3.868,
2013-10,4.095,
2014-01,3.627,
2014-04,3.814,
2014-07,3.744,
