"",BBK01.OEBB12G,BBK01.OEBB12G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:36,
2002-01,10.934,
2002-04,11.459,
2002-07,11.477,
2002-10,11.474,
2003-01,11.254,
2003-04,11.161,
2003-07,10.892,
2003-10,10.783,
2004-01,10.732,
2004-04,10.791,
2004-07,10.373,
2004-10,9.511,
2005-01,5.233,
2005-04,5.099,
2005-07,3.656,
2005-10,3.919,
2006-01,3.869,
2006-04,3.948,
2006-07,3.968,
2006-10,3.932,
2007-01,4.095,
2007-04,4.140,
2007-07,4.219,
2007-10,4.249,
2008-01,4.329,
2008-04,4.472,
2008-07,4.475,
2008-10,4.642,
2009-01,4.679,
2009-04,7.819,
2009-07,7.252,
2009-10,7.275,
2010-01,7.027,
2010-04,6.807,
2010-07,6.574,
2010-10,6.297,
2011-01,5.903,
2011-04,5.661,
2011-07,5.787,
2011-10,5.814,
2012-01,5.881,
2012-04,5.968,
2012-07,5.938,
2012-10,5.826,
2013-01,5.868,
2013-04,6.056,
2013-07,5.920,
2013-10,5.727,
2014-01,6.060,
2014-04,6.166,
2014-07,6.176,
