"",BBK01.OEBL03I,BBK01.OEBL03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:13,
2002-01,5.548,
2002-04,5.042,
2002-07,4.318,
2002-10,4.413,
2003-01,4.305,
2003-04,3.825,
2003-07,3.280,
2003-10,2.888,
2004-01,2.319,
2004-04,1.990,
2004-07,1.484,
2004-10,1.575,
2005-01,1.730,
2005-04,1.645,
2005-07,1.645,
2005-10,1.881,
2006-01,1.688,
2006-04,1.695,
2006-07,1.911,
2006-10,2.610,
2007-01,2.626,
2007-04,2.686,
2007-07,2.975,
2007-10,3.367,
2008-01,3.730,
2008-04,4.109,
2008-07,4.583,
2008-10,4.654,
2009-01,3.659,
2009-04,3.158,
2009-07,2.335,
2009-10,1.730,
2010-01,1.561,
2010-04,1.569,
2010-07,1.394,
2010-10,1.377,
2011-01,2.175,
2011-04,2.923,
2011-07,3.426,
2011-10,4.376,
2012-01,5.256,
2012-04,5.171,
2012-07,5.108,
2012-10,4.720,
2013-01,4.180,
2013-04,3.924,
2013-07,3.649,
2013-10,3.537,
2014-01,3.432,
2014-04,3.346,
2014-07,3.306,
