"",BBK01.OEAD05Q,BBK01.OEAD05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:14,
2002-01,0.449,
2002-04,0.443,
2002-07,0.432,
2002-10,0.433,
2003-01,0.417,
2003-04,0.443,
2003-07,0.443,
2003-10,0.445,
2004-01,0.444,
2004-04,0.402,
2004-07,0.399,
2004-10,0.406,
2005-01,0.405,
2005-04,0.390,
2005-07,0.374,
2005-10,0.376,
2006-01,0.370,
2006-04,0.375,
2006-07,0.368,
2006-10,0.364,
2007-01,0.446,
2007-04,0.448,
2007-07,0.405,
2007-10,0.384,
2008-01,0.318,
2008-04,0.308,
2008-07,0.306,
2008-10,0.332,
2009-01,0.320,
2009-04,0.314,
2009-07,0.341,
2009-10,0.324,
2010-01,0.287,
2010-04,0.288,
2010-07,0.258,
2010-10,0.244,
2011-01,0.266,
2011-04,0.244,
2011-07,0.240,
2011-10,0.244,
2012-01,0.244,
2012-04,0.271,
2012-07,0.268,
2012-10,0.280,
2013-01,0.274,
2013-04,0.256,
2013-07,0.261,
2013-10,0.252,
2014-01,0.256,
2014-04,0.253,
2014-07,0.249,
