"",BBNZ1.Q.DE.N.G.0110.A,BBNZ1.Q.DE.N.G.0110.A_FLAGS
"",Germany / National accounts / Use of GDP / Exports of goods and services / At current prices,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-24 08:20:48,
1991-01,91.809,
1991-04,91.642,
1991-07,93.231,
1991-10,98.202,
1992-01,95.717,
1992-04,92.631,
1992-07,93.316,
1992-10,95.777,
1993-01,87.536,
1993-04,88.056,
1993-07,86.140,
1993-10,94.175,
1994-01,91.748,
1994-04,98.127,
1994-07,94.852,
1994-10,102.105,
1995-01,102.570,
1995-04,103.786,
1995-07,101.372,
1995-10,110.148,
1996-01,106.531,
1996-04,108.076,
1996-07,108.324,
1996-10,118.362,
1997-01,113.112,
1997-04,124.486,
1997-07,127.021,
1997-10,134.864,
1998-01,130.735,
1998-04,135.545,
1998-07,131.559,
1998-10,136.051,
1999-01,128.020,
1999-04,139.002,
1999-07,139.534,
1999-10,151.813,
2000-01,153.021,
2000-04,160.123,
2000-07,160.449,
2000-10,178.908,
2001-01,171.816,
2001-04,174.140,
2001-07,170.433,
2001-10,178.344,
2002-01,169.726,
2002-04,180.937,
2002-07,180.618,
2002-10,188.374,
2003-01,175.425,
2003-04,176.975,
2003-07,180.955,
2003-10,190.193,
2004-01,192.009,
2004-04,203.692,
2004-07,199.029,
2004-10,210.134,
2005-01,202.421,
2005-04,215.756,
2005-07,218.765,
2005-10,231.353,
2006-01,234.368,
2006-04,239.090,
2006-07,244.251,
2006-10,267.961,
2007-01,262.790,
2007-04,267.249,
2007-07,270.665,
2007-10,280.083,
2008-01,278.004,
2008-04,287.507,
2008-07,280.187,
2008-10,267.490,
2009-01,226.514,
2009-04,222.141,
2009-07,232.553,
2009-10,248.571,
2010-01,247.534,
2010-04,270.645,
2010-07,277.823,
2010-10,293.647,
2011-01,295.982,
2011-04,300.234,
2011-07,303.407,
2011-10,309.762,
2012-01,315.418,
2012-04,314.623,
2012-07,317.756,
2012-10,315.075,
2013-01,311.673,
2013-04,320.677,
2013-07,320.871,
2013-10,326.906,
2014-01,322.111,
2014-04,325.962,
2014-07,335.108,
2014-10,342.981,
