"",BBK01.OECB18J,BBK01.OECB18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:14,
2002-01,0.060,
2002-04,0.057,
2002-07,0.060,
2002-10,0.056,
2003-01,0.051,
2003-04,0.056,
2003-07,0.050,
2003-10,0.047,
2004-01,0.042,
2004-04,0.040,
2004-07,0.039,
2004-10,0.035,
2005-01,0.042,
2005-04,0.064,
2005-07,0.068,
2005-10,0.057,
2006-01,0.058,
2006-04,0.062,
2006-07,0.083,
2006-10,0.082,
2007-01,0.082,
2007-04,0.082,
2007-07,0.085,
2007-10,0.088,
2008-01,0.082,
2008-04,0.057,
2008-07,0.055,
2008-10,0.055,
2009-01,0.048,
2009-04,0.061,
2009-07,0.058,
2009-10,0.055,
2010-01,0.058,
2010-04,0.057,
2010-07,0.057,
2010-10,0.055,
2011-01,0.061,
2011-04,0.082,
2011-07,0.092,
2011-10,0.081,
2012-01,0.073,
2012-04,0.074,
2012-07,0.064,
2012-10,0.064,
2013-01,0.062,
2013-04,0.061,
2013-07,0.065,
2013-10,0.062,
2014-01,0.058,
2014-04,0.057,
2014-07,0.058,
