"",BBK01.OEAA52H,BBK01.OEAA52H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:16:03,
2002-01,0.162,
2002-04,0.140,
2002-07,0.120,
2002-10,0.139,
2003-01,0.116,
2003-04,0.125,
2003-07,0.107,
2003-10,0.138,
2004-01,0.120,
2004-04,0.102,
2004-07,0.097,
2004-10,0.147,
2005-01,0.135,
2005-04,0.097,
2005-07,0.086,
2005-10,0.096,
2006-01,0.078,
2006-04,0.079,
2006-07,0.094,
2006-10,0.090,
2007-01,0.089,
2007-04,0.093,
2007-07,0.091,
2007-10,0.104,
2008-01,0.096,
2008-04,0.104,
2008-07,0.081,
2008-10,0.113,
2009-01,0.095,
2009-04,0.073,
2009-07,0.069,
2009-10,0.068,
2010-01,0.064,
2010-04,0.061,
2010-07,0.059,
2010-10,0.073,
2011-01,0.067,
2011-04,0.066,
2011-07,0.070,
2011-10,0.069,
2012-01,0.072,
2012-04,0.056,
2012-07,0.055,
2012-10,0.057,
2013-01,0.051,
2013-04,0.042,
2013-07,0.040,
2013-10,0.044,
2014-01,0.044,
2014-04,0.038,
2014-07,0.035,
