"",BBK01.OEYI05M,BBK01.OEYI05M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:03,
2002-01,43.484,
2002-04,43.135,
2002-07,43.243,
2002-10,45.438,
2003-01,46.248,
2003-04,46.581,
2003-07,47.991,
2003-10,45.845,
2004-01,47.186,
2004-04,49.620,
2004-07,50.764,
2004-10,52.413,
2005-01,54.094,
2005-04,55.834,
2005-07,57.340,
2005-10,58.118,
2006-01,58.348,
2006-04,57.643,
2006-07,58.050,
2006-10,59.352,
2007-01,59.117,
2007-04,59.573,
2007-07,59.024,
2007-10,58.665,
2008-01,58.706,
2008-04,58.650,
2008-07,58.546,
2008-10,58.070,
2009-01,58.901,
2009-04,54.788,
2009-07,54.879,
2009-10,55.110,
2010-01,55.006,
2010-04,54.719,
2010-07,54.103,
2010-10,54.624,
2011-01,54.845,
2011-04,54.508,
2011-07,53.823,
2011-10,53.719,
2012-01,53.320,
2012-04,53.033,
2012-07,52.959,
2012-10,53.176,
2013-01,52.824,
2013-04,52.601,
2013-07,52.138,
2013-10,51.655,
2014-01,51.553,
2014-04,50.862,
2014-07,50.672,
