"",BBFB1.Q.N.DE.A1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Expenditure / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:20,
1991-01,1815.388,
1991-04,2541.106,
1991-07,1851.355,
1991-10,1879.085,
1992-01,1089.745,
1992-04,1386.450,
1992-07,1157.647,
1992-10,489.793,
1993-01,1400.542,
1993-04,1346.527,
1993-07,1360.708,
1993-10,1218.167,
1994-01,2001.015,
1994-04,2005.805,
1994-07,1924.698,
1994-10,2065.186,
1995-01,2198.963,
1995-04,1497.346,
1995-07,2061.785,
1995-10,2131.054,
1996-01,1368.017,
1996-04,1995.471,
1996-07,1775.727,
1996-10,2276.665,
1997-01,2163.166,
1997-04,2903.378,
1997-07,2438.461,
1997-10,3101.202,
1998-01,2296.433,
1998-04,3302.786,
1998-07,3359.967,
1998-10,3660.926,
1999-01,3444.004,
1999-04,3114.823,
1999-07,2705.029,
1999-10,3807.201,
2000-01,4282.657,
2000-04,4711.500,
2000-07,4494.878,
2000-10,6229.628,
2001-01,4156.494,
2001-04,4427.709,
2001-07,3707.087,
2001-10,3556.925,
2002-01,3895.087,
2002-04,4491.859,
2002-07,3890.895,
2002-10,3920.744,
2003-01,3403.280,
2003-04,3615.648,
2003-07,3292.519,
2003-10,3282.944,
2004-01,973.681,
2004-04,1538.359,
2004-07,869.788,
2004-10,1012.263,
2005-01,3258.169,
2005-04,4220.987,
2005-07,3305.800,
2005-10,3430.807,
2006-01,3684.667,
2006-04,5420.373,
2006-07,3831.833,
2006-10,3953.735,
2007-01,4886.999,
2007-04,7455.721,
2007-07,4279.952,
2007-10,3925.221,
2008-01,8319.820,
2008-04,4882.689,
2008-07,-578.095,
2008-10,2421.334,
2009-01,3640.339,
2009-04,6383.521,
2009-07,3550.098,
2009-10,3873.788,
2010-01,3449.099,
2010-04,6284.850,
2010-07,3648.371,
2010-10,3666.150,
2011-01,3794.148,
2011-04,6842.912,
2011-07,3301.934,
2011-10,3352.827,
2012-01,3585.259,
2012-04,6571.473,
2012-07,3207.359,
2012-10,3164.600,
2013-01,3762.914,
2013-04,6869.115,
2013-07,3335.215,
2013-10,3403.651,
2014-01,3733.445,Provisional value
2014-04,6999.340,Provisional value
2014-07,3356.439,Provisional value
