"",BBK01.OECM07M,BBK01.OECM07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:01,
2002-01,0.001,
2002-04,0.001,
2002-07,0.001,
2002-10,0.001,
2003-01,0.001,
2003-04,0.001,
2003-07,0.001,
2003-10,0.001,
2004-01,0.001,
2004-04,0.001,
2004-07,0.001,
2004-10,0.001,
2005-01,0.002,
2005-04,0.001,
2005-07,0.001,
2005-10,0.001,
2006-01,-,Nothing exists
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,-,Nothing exists
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,-,Nothing exists
2008-01,-,Nothing exists
2008-04,-,Nothing exists
2008-07,-,Nothing exists
2008-10,-,Nothing exists
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,0.019,
2009-10,0.028,
2010-01,0.043,
2010-04,0.079,
2010-07,0.058,
2010-10,0.064,
2011-01,0.060,
2011-04,0.046,
2011-07,0.046,
2011-10,0.038,
2012-01,0.028,
2012-04,0.029,
2012-07,0.024,
2012-10,0.025,
2013-01,0.036,
2013-04,0.040,
2013-07,0.041,
2013-10,0.041,
2014-01,0.035,
2014-04,0.023,
2014-07,0.015,
