"",BBK01.CEFFJ3,BBK01.CEFFJ3_FLAGS
"",long-term loans                                             debtor:  Households                                  creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:34,
1999-01,1183.7,
1999-04,1206.0,
1999-07,1227.8,
1999-10,1245.8,
2000-01,1251.8,
2000-04,1263.1,
2000-07,1276.2,
2000-10,1287.2,
2001-01,1288.2,
2001-04,1294.4,
2001-07,1303.2,
2001-10,1310.4,
2002-01,1308.8,
2002-04,1316.2,
2002-07,1323.0,
2002-10,1329.5,
2003-01,1330.5,
2003-04,1334.8,
2003-07,1343.7,
2003-10,1349.6,
2004-01,1342.6,
2004-04,1350.0,
2004-07,1359.7,
2004-10,1363.7,
2005-01,1355.8,
2005-04,1360.5,
2005-07,1366.0,
2005-10,1369.2,
2006-01,1369.8,
2006-04,1371.6,
2006-07,1374.9,
2006-10,1370.8,
2007-01,1362.6,
2007-04,1359.0,
2007-07,1358.3,
2007-10,1352.2,
2008-01,1343.0,
2008-04,1343.2,
2008-07,1342.1,
2008-10,1338.4,
2009-01,1330.2,
2009-04,1334.3,
2009-07,1339.1,
2009-10,1342.2,
2010-01,1337.1,
2010-04,1340.2,
2010-07,1345.7,
2010-10,1348.3,
2011-01,1344.6,
2011-04,1348.8,
2011-07,1360.4,
2011-10,1363.6,
2012-01,1361.5,
2012-04,1366.8,
2012-07,1374.7,
2012-10,1378.9,
2013-01,1377.6,
2013-04,1383.1,
2013-07,1391.0,
2013-10,1394.5,
2014-01,1394.1,
2014-04,1399.7,
2014-07,1410.5,
