"",BBK01.OELJ08P,BBK01.OELJ08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:06,
2002-01,0.030,
2002-04,0.030,
2002-07,0.034,
2002-10,0.034,
2003-01,0.033,
2003-04,0.037,
2003-07,0.040,
2003-10,0.041,
2004-01,0.040,
2004-04,0.045,
2004-07,0.044,
2004-10,0.042,
2005-01,0.046,
2005-04,0.045,
2005-07,0.045,
2005-10,0.045,
2006-01,0.043,
2006-04,0.043,
2006-07,0.036,
2006-10,0.035,
2007-01,0.032,
2007-04,0.029,
2007-07,0.034,
2007-10,0.030,
2008-01,0.028,
2008-04,0.024,
2008-07,0.024,
2008-10,0.025,
2009-01,0.027,
2009-04,0.027,
2009-07,0.029,
2009-10,0.031,
2010-01,0.031,
2010-04,0.033,
2010-07,0.032,
2010-10,0.033,
2011-01,0.033,
2011-04,0.034,
2011-07,0.035,
2011-10,0.035,
2012-01,0.035,
2012-04,0.034,
2012-07,0.034,
2012-10,0.037,
2013-01,0.039,
2013-04,0.038,
2013-07,0.041,
2013-10,0.043,
2014-01,0.042,
2014-04,0.041,
2014-07,0.041,
