"",BBFB1.Q.N.DE.AR.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.AR.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Argentina,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:26,
1991-01,64.962,
1991-04,32.090,
1991-07,-10.330,
1991-10,-20.648,
1992-01,-6.441,
1992-04,19.469,
1992-07,31.502,
1992-10,-0.678,
1993-01,15.160,
1993-04,13.248,
1993-07,3.872,
1993-10,67.418,
1994-01,214.109,
1994-04,-62.947,
1994-07,-28.272,
1994-10,51.002,
1995-01,-29.101,
1995-04,-50.762,
1995-07,1045.397,
1995-10,-1016.417,
1996-01,-24.293,
1996-04,42.265,
1996-07,-10.719,
1996-10,76.311,
1997-01,-95.747,
1997-04,16.811,
1997-07,12.782,
1997-10,92.878,
1998-01,-11.441,
1998-04,-489.522,
1998-07,-31.312,
1998-10,8.352,
1999-01,-34.510,
1999-04,75.550,
1999-07,-95.206,
1999-10,49.887,
2000-01,-30.246,
2000-04,129.127,
2000-07,439.638,
2000-10,152.904,
2001-01,403.903,
2001-04,-233.700,
2001-07,529.198,
2001-10,-329.029,
2002-01,-388.409,
2002-04,8.018,
2002-07,54.221,
2002-10,40.406,
2003-01,-137.527,
2003-04,-4.008,
2003-07,52.297,
2003-10,-33.791,
2004-01,24.760,
2004-04,-65.615,
2004-07,18.044,
2004-10,9.115,
2005-01,27.347,
2005-04,-116.863,
2005-07,18.059,
2005-10,47.277,
2006-01,-25.494,
2006-04,72.747,
2006-07,65.997,
2006-10,-44.780,
2007-01,102.276,
2007-04,14.903,
2007-07,99.889,
2007-10,-47.617,
2008-01,-165.106,
2008-04,32.125,
2008-07,54.514,
2008-10,0.407,
2009-01,-19.978,
2009-04,-4.740,
2009-07,-19.691,
2009-10,0.243,
2010-01,-31.461,
2010-04,3.964,
2010-07,-77.191,
2010-10,-19.289,
2011-01,34.387,
2011-04,25.780,
2011-07,55.286,
2011-10,-60.270,
2012-01,-73.993,
2012-04,20.222,
2012-07,229.158,
2012-10,-6.071,
2013-01,22.719,
2013-04,59.557,
2013-07,-44.259,
2013-10,27.282,
2014-01,-94.795,Provisional value
2014-04,484.715,Provisional value
2014-07,19.440,Provisional value
2014-10,584.165,Provisional value
