"",BBK01.OEAC03N,BBK01.OEAC03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:45,
2002-01,3.694,
2002-04,4.350,
2002-07,4.323,
2002-10,4.134,
2003-01,3.892,
2003-04,3.673,
2003-07,3.711,
2003-10,3.776,
2004-01,4.139,
2004-04,4.001,
2004-07,4.042,
2004-10,3.941,
2005-01,4.256,
2005-04,4.087,
2005-07,4.809,
2005-10,4.297,
2006-01,4.509,
2006-04,4.641,
2006-07,4.579,
2006-10,4.652,
2007-01,4.875,
2007-04,4.968,
2007-07,5.165,
2007-10,5.545,
2008-01,5.663,
2008-04,5.862,
2008-07,5.452,
2008-10,7.931,
2009-01,10.065,
2009-04,10.201,
2009-07,9.976,
2009-10,10.353,
2010-01,11.387,
2010-04,11.729,
2010-07,12.463,
2010-10,12.479,
2011-01,13.333,
2011-04,13.468,
2011-07,13.590,
2011-10,13.769,
2012-01,14.240,
2012-04,14.443,
2012-07,14.748,
2012-10,14.673,
2013-01,15.312,
2013-04,15.176,
2013-07,14.426,
2013-10,14.434,
2014-01,14.639,
2014-04,14.828,
2014-07,14.714,
