"",BBFN1.M.DE.N.1.L.HK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.HK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / Hong Kong,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:40,
1994-07,0.276,
1994-08,0.343,
1994-09,0.361,
1994-10,0.345,
1994-11,0.358,
1994-12,0.395,
1995-01,0.378,
1995-02,0.346,
1995-03,0.357,
1995-04,0.332,
1995-05,0.309,
1995-06,0.332,
1995-07,0.343,
1995-08,0.346,
1995-09,0.391,
1995-10,0.371,
1995-11,0.378,
1995-12,0.388,
1996-01,0.353,
1996-02,0.323,
1996-03,0.464,
1996-04,0.477,
1996-05,0.487,
1996-06,0.524,
1996-07,0.528,
1996-08,0.534,
1996-09,0.566,
1996-10,0.553,
1996-11,0.482,
1996-12,0.570,
1997-01,0.514,
1997-02,0.498,
1997-03,0.478,
1997-04,0.450,
1997-05,0.468,
1997-06,0.562,
1997-07,0.561,
1997-08,0.551,
1997-09,0.526,
1997-10,0.489,
1997-11,0.496,
1997-12,0.504,
1998-01,0.459,
1998-02,0.427,
1998-03,0.453,
1998-04,0.479,
1998-05,0.485,
1998-06,0.449,
1998-07,0.482,
1998-08,0.476,
1998-09,0.530,
1998-10,0.519,
1998-11,0.497,
1998-12,0.506,
1999-01,0.497,
1999-02,0.437,
1999-03,0.509,
1999-04,0.498,
1999-05,0.523,
1999-06,0.632,
1999-07,0.623,
1999-08,0.642,
1999-09,0.665,
1999-10,0.711,
1999-11,0.609,
1999-12,0.644,
2000-01,0.626,
2000-02,0.599,
2000-03,0.591,
2000-04,0.677,
2000-05,0.715,
2000-06,0.815,
2000-07,0.702,
2000-08,0.636,
2000-09,0.725,
2000-10,0.747,
2000-11,0.723,
2000-12,0.832,
2001-01,0.837,
2001-02,0.865,
2001-03,0.878,
2001-04,0.854,
2001-05,0.876,
2001-06,0.911,
2001-07,0.836,
2001-08,0.796,
2001-09,0.844,
2001-10,0.732,
2001-11,0.884,
2001-12,0.878,
2002-01,0.789,
2002-02,0.784,
2002-03,0.777,
2002-04,0.716,
2002-05,0.744,
2002-06,0.796,
2002-07,0.732,
2002-08,0.696,
2002-09,0.679,
2002-10,0.675,
2002-11,0.704,
2002-12,0.829,
2003-01,0.753,
2003-02,0.717,
2003-03,0.712,
2003-04,0.738,
2003-05,0.686,
2003-06,0.719,
2003-07,0.640,
2003-08,0.681,
2003-09,0.684,
2003-10,0.744,
2003-11,0.781,
2003-12,0.785,
2004-01,0.753,
2004-02,0.719,
2004-03,0.729,
2004-04,0.790,
2004-05,0.874,
2004-06,0.863,
2004-07,0.794,
2004-08,0.794,
2004-09,0.781,
2004-10,0.613,
2004-11,0.800,
2004-12,0.831,
2005-01,0.918,
2005-02,0.845,
2005-03,0.822,
2005-04,0.877,
2005-05,0.959,
2005-06,0.992,
2005-07,0.985,
2005-08,0.901,
2005-09,0.950,
2005-10,0.955,
2005-11,0.674,
2005-12,0.804,
2006-01,0.697,
2006-02,0.705,
2006-03,0.787,
2006-04,0.784,
2006-05,0.851,
2006-06,0.699,
2006-07,0.820,
2006-08,0.758,
2006-09,0.796,
2006-10,0.780,
2006-11,0.878,
2006-12,0.942,
2007-01,0.925,
2007-02,0.851,
2007-03,0.826,
2007-04,0.808,
2007-05,0.851,
2007-06,0.812,
2007-07,0.778,
2007-08,0.765,
2007-09,0.814,
2007-10,0.775,
2007-11,0.823,
2007-12,0.825,
2008-01,0.813,
2008-02,0.761,
2008-03,0.812,
2008-04,0.778,
2008-05,0.844,
2008-06,0.887,
2008-07,0.928,
2008-08,0.894,
2008-09,0.958,
2008-10,0.930,
2008-11,0.902,
2008-12,0.887,
2009-01,0.871,
2009-02,0.891,
2009-03,0.852,
2009-04,0.829,
2009-05,0.784,
2009-06,0.828,
2009-07,0.843,
2009-08,0.860,
2009-09,0.742,
2009-10,0.816,
2009-11,0.845,
2009-12,0.829,
2010-01,0.859,
2010-02,0.898,
2010-03,0.825,
2010-04,0.842,
2010-05,0.918,
2010-06,0.817,
2010-07,0.845,
2010-08,0.936,
2010-09,0.855,
2010-10,0.948,
2010-11,1.039,
2010-12,1.103,
2011-01,1.105,
2011-02,1.116,
2011-03,1.105,
2011-04,1.099,
2011-05,1.166,
2011-06,0.998,
2011-07,1.106,
2011-08,1.240,
2011-09,1.230,
2011-10,1.180,
2011-11,1.173,
2011-12,1.182,
2012-01,1.296,
2012-02,1.272,
2012-03,1.212,
2012-04,1.139,
2012-05,1.181,
2012-06,1.148,
2012-07,1.180,
2012-08,1.224,
2012-09,1.221,
2012-10,1.147,
2012-11,1.229,
2012-12,1.332,
2013-01,1.270,
2013-02,1.363,
2013-03,1.066,
2013-04,1.067,
2013-05,1.102,
2013-06,1.140,
2013-07,1.175,
2013-08,1.252,
2013-09,1.294,
2013-10,1.184,
2013-11,1.236,
2013-12,1.209,
2014-01,1.223,
2014-02,1.174,
2014-03,1.192,
2014-04,1.127,
2014-05,1.171,
2014-06,1.272,
2014-07,1.235,
2014-08,1.326,
2014-09,1.409,
2014-10,1.361,
2014-11,1.486,
2014-12,1.425,
