"",BBK01.OEYB18V,BBK01.OEYB18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:07,
2002-01,0.007,
2002-04,0.114,
2002-07,0.117,
2002-10,0.131,
2003-01,0.071,
2003-04,0.069,
2003-07,0.077,
2003-10,0.038,
2004-01,0.026,
2004-04,0.023,
2004-07,0.029,
2004-10,0.036,
2005-01,0.035,
2005-04,0.035,
2005-07,0.030,
2005-10,0.031,
2006-01,0.031,
2006-04,0.031,
2006-07,0.030,
2006-10,0.030,
2007-01,0.033,
2007-04,0.029,
2007-07,0.026,
2007-10,0.025,
2008-01,0.023,
2008-04,0.008,
2008-07,0.009,
2008-10,0.009,
2009-01,0.005,
2009-04,0.004,
2009-07,0.003,
2009-10,0.004,
2010-01,0.002,
2010-04,0.209,
2010-07,0.210,
2010-10,0.003,
2011-01,0.003,
2011-04,0.003,
2011-07,0.072,
2011-10,0.026,
2012-01,0.025,
2012-04,0.026,
2012-07,0.002,
2012-10,0.003,
2013-01,0.001,
2013-04,0.001,
2013-07,0.001,
2013-10,0.003,
2014-01,0.004,
2014-04,0.003,
2014-07,0.003,
