"",BBEX3.M.UZS.EUR.CA.AC.A01,BBEX3.M.UZS.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Uzbekistan / EUR 1 = UZS ... (middle),
unit,UZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:56,
1999-01,128.89,
1999-02,124.17,
1999-03,124.06,
1999-04,123.26,
1999-05,124.37,
1999-06,129.01,
1999-07,136.94,
1999-08,139.79,
1999-09,141.98,
1999-10,147.64,
1999-11,140.61,
1999-12,141.72,
2000-01,144.19,
2000-02,137.50,
2000-03,143.06,
2000-04,140.13,
2000-05,217.16,
2000-06,239.64,
2000-07,258.72,
2000-08,261.68,
2000-09,263.57,
2000-10,258.40,
2000-11,265.74,
2000-12,302.38,
2001-01,304.45,
2001-02,306.65,
2001-03,302.89,
2001-04,312.71,
2001-05,304.99,
2001-06,322.71,
2001-07,352.70,
2001-08,380.46,
2001-09,389.23,
2001-10,387.81,
2001-11,601.20,comment
2001-12,609.56,
2002-01,599.90,
2002-02,606.16,
2002-03,609.08,
2002-04,640.29,
2002-05,670.57,
2002-06,726.42,
2002-07,750.36,
2002-08,756.72,
2002-09,792.56,
2002-10,858.36,
2002-11,914.50,
2002-12,1012.58,
2003-01,1041.05,
2003-02,1035.73,
2003-03,1028.39,
2003-04,1069.33,
2003-05,1147.55,
2003-06,1128.87,
2003-07,1117.85,
2003-08,1058.49,
2003-09,1115.79,
2003-10,1144.63,
2003-11,1163.68,
2003-12,1219.81,
2004-01,1238.25,
2004-02,1239.47,
2004-03,1208.40,
2004-04,1203.31,
2004-05,1211.17,
2004-06,1240.63,
2004-07,1244.53,
2004-08,1242.23,
2004-09,1277.22,
2004-10,1334.45,
2004-11,1395.44,
2004-12,1431.90,
2005-01,1386.82,
2005-02,1396.16,
2005-03,1394.39,
2005-04,1415.33,
2005-05,1382.54,
2005-06,1351.94,
2005-07,1353.21,
2005-08,1395.59,
2005-09,1372.22,
2005-10,1374.49,
2005-11,1365.26,
2005-12,1395.94,
2006-01,1439.45,
2006-02,1424.01,
2006-03,1457.57,
2006-04,1507.25,
2006-05,1557.02,
2006-06,1532.59,
2006-07,1552.31,
2006-08,1571.36,
2006-09,1574.87,
2006-10,1568.60,
2006-11,1622.19,
2006-12,1625.89,
2007-01,1603.96,
2007-02,1640.28,
2007-03,1657.72,
2007-04,1705.00,
2007-05,1695.82,
2007-06,1695.38,
2007-07,1747.50,
2007-08,1718.09,
2007-09,1778.79,
2007-10,1828.64,
2007-11,1900.47,
2007-12,1856.83,
2008-01,1888.97,
2008-02,1908.14,
2008-03,2042.22,
2008-04,2067.77,
2008-05,2046.89,
2008-06,2029.74,
2008-07,2068.09,
2008-08,1944.48,
2008-09,1928.90,
2008-10,1792.16,
2008-11,1751.02,
2008-12,2050.36,
2009-01,1968.43,
2009-02,1979.56,
2009-03,2012.68,
2009-04,2037.27,
2009-05,2061.31,
2009-06,2091.74,
2009-07,2118.09,
2009-08,2141.49,
2009-09,2184.79,
2009-10,2248.43,
2009-11,2251.38,
2009-12,2213.75,
2010-01,2232.70,
2010-02,2252.22,
2010-03,2276.17,
2010-04,2294.83,
2010-05,2106.21,
2010-06,2073.50,
2010-07,2091.71,
2010-08,2063.00,
2010-09,2173.17,
2010-10,2259.78,
2010-11,2183.71,
2010-12,2165.13,
2011-01,2213.36,
2011-02,2256.13,
2011-03,2381.34,
2011-04,2442.02,
2011-05,2404.38,
2011-06,2451.01,
2011-07,2447.42,
2011-08,2499.49,
2011-09,2379.84,
2011-10,2427.14,
2011-11,2390.05,
2011-12,2341.97,
2012-01,2359.67,
2012-02,2425.50,
2012-03,2439.55,
2012-04,2432.19,
2012-05,2372.61,
2012-06,2382.81,
2012-07,2315.22,
2012-08,2397.96,
2012-09,2528.98,
2012-10,2548.21,
2012-11,2524.34,
2012-12,2620.31,
2013-01,2668.71,
2013-02,2693.07,
2013-03,2634.09,
2013-04,2692.13,
2013-05,2686.84,
2013-06,2787.43,
2013-07,2783.57,
2013-08,2824.45,
2013-09,2838.11,
2013-10,2950.08,
2013-11,2974.05,
2013-12,3031.90,
2014-01,3000.05,
2014-02,3053.73,
2014-03,3136.52,
2014-04,3146.19,
2014-05,3158.92,
2014-06,3141.91,
2014-07,3161.09,
2014-08,3127.51,
2014-09,3084.28,
2014-10,3035.95,
2014-11,2993.72,
2014-12,2987.74,
2015-01,2830.23,
"","Source: Central Bank of the Republic of Uzbekistan, Tashkent.",
"","Comment on 2001-11: On 1 November 2001, the exchange rates were adjusted sharply. Exchange rate on 1 November 2001: EUR 1 = UZS 617.78; calculated devaluation: 37.2%.",
