"",BBK01.OEAD15Q,BBK01.OEAD15Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:18,
2002-01,0.098,
2002-04,0.099,
2002-07,0.098,
2002-10,0.098,
2003-01,0.095,
2003-04,0.095,
2003-07,0.093,
2003-10,0.087,
2004-01,0.085,
2004-04,0.069,
2004-07,0.065,
2004-10,0.067,
2005-01,0.068,
2005-04,0.068,
2005-07,0.066,
2005-10,0.064,
2006-01,0.068,
2006-04,0.068,
2006-07,0.065,
2006-10,0.064,
2007-01,0.078,
2007-04,0.107,
2007-07,0.071,
2007-10,0.093,
2008-01,0.081,
2008-04,0.069,
2008-07,0.070,
2008-10,0.091,
2009-01,0.097,
2009-04,0.086,
2009-07,0.095,
2009-10,0.089,
2010-01,0.064,
2010-04,0.069,
2010-07,0.049,
2010-10,0.047,
2011-01,0.073,
2011-04,0.053,
2011-07,0.049,
2011-10,0.051,
2012-01,0.053,
2012-04,0.067,
2012-07,0.065,
2012-10,0.068,
2013-01,0.070,
2013-04,0.064,
2013-07,0.062,
2013-10,0.051,
2014-01,0.053,
2014-04,0.054,
2014-07,0.058,
