"",BBK01.OEAH45M,BBK01.OEAH45M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:54,
2002-01,2.500,
2002-04,2.426,
2002-07,2.382,
2002-10,2.412,
2003-01,2.324,
2003-04,2.158,
2003-07,2.081,
2003-10,1.938,
2004-01,2.011,
2004-04,1.867,
2004-07,1.809,
2004-10,1.838,
2005-01,1.867,
2005-04,1.779,
2005-07,1.739,
2005-10,1.829,
2006-01,2.009,
2006-04,1.952,
2006-07,2.117,
2006-10,2.258,
2007-01,2.344,
2007-04,2.417,
2007-07,2.628,
2007-10,3.032,
2008-01,3.223,
2008-04,3.268,
2008-07,3.523,
2008-10,3.767,
2009-01,2.808,
2009-04,2.380,
2009-07,2.019,
2009-10,1.650,
2010-01,1.449,
2010-04,1.258,
2010-07,1.210,
2010-10,1.311,
2011-01,1.259,
2011-04,1.322,
2011-07,1.427,
2011-10,1.404,
2012-01,1.403,
2012-04,1.287,
2012-07,1.216,
2012-10,0.953,
2013-01,0.866,
2013-04,0.831,
2013-07,0.797,
2013-10,0.787,
2014-01,0.701,
2014-04,0.690,
2014-07,0.688,
