"",BBEX3.M.SEK.EUR.CA.AB.A01,BBEX3.M.SEK.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Sweden / EUR 1 = SEK ... (selling),
unit,SEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:47,
1999-01,8.8920,
1999-02,9.0290,
1999-03,8.9305,
1999-04,8.9275,
1999-05,8.9945,
1999-06,8.7640,
1999-07,8.8050,
1999-08,8.7550,
1999-09,8.7275,
1999-10,8.6975,
1999-11,8.6095,
1999-12,8.5835,
2000-01,8.6055,
2000-02,8.4445,
2000-03,8.3220,
2000-04,8.1645,
2000-05,8.3855,
2000-06,8.4380,
2000-07,8.5100,
2000-08,8.4560,
2000-09,8.5450,
2000-10,8.5055,
2000-11,8.7245,
2000-12,8.8770,
2001-01,8.8705,
2001-02,9.0980,
2001-03,9.1795,
2001-04,9.1110,
2001-05,9.1540,
2001-06,9.2050,
2001-07,9.2640,
2001-08,9.5520,
2001-09,9.7665,
2001-10,9.6145,
2001-11,9.4845,
2001-12,9.4440,
2002-01,9.1995,
2002-02,9.1115,
2002-03,9.0615,
2002-04,9.2600,
2002-05,9.1525,
2002-06,9.1175,
2002-07,9.2785,
2002-08,9.1960,
2002-09,9.1635,
2002-10,9.1130,
2002-11,9.1055,
2002-12,9.2275,
2003-01,9.2345,
2003-02,9.1580,
2003-03,9.2655,
2003-04,9.1495,
2003-05,9.1765,
2003-06,9.1980,
2003-07,9.2180,
2003-08,9.2425,
2003-09,8.9485,
2003-10,9.0790,
2003-11,9.0435,
2003-12,9.1290,
2004-01,9.2130,
2004-02,9.2525,
2004-03,9.2985,
2004-04,9.1730,
2004-05,9.1345,
2004-06,9.1680,
2004-07,9.2675,
2004-08,9.1660,
2004-09,9.1035,
2004-10,9.0960,
2004-11,8.9600,
2004-12,9.0420,
2005-01,9.1400,
2005-02,9.0825,
2005-03,9.1730,
2005-04,9.2030,
2005-05,9.1990,
2005-06,9.4735,
2005-07,9.4210,
2005-08,9.3910,
2005-09,9.3755,
2005-10,9.5815,
2005-11,9.5620,
2005-12,9.4650,
2006-01,9.2665,
2006-02,9.4980,
2006-03,9.4325,
2006-04,9.3340,
2006-05,9.3040,
2006-06,9.2590,
2006-07,9.2685,
2006-08,9.2815,
2006-09,9.3015,
2006-10,9.2595,
2006-11,9.1100,
2006-12,9.0850,
2007-01,9.0830,
2007-02,9.2985,
2007-03,9.3640,
2007-04,9.1935,
2007-05,9.3350,
2007-06,9.2785,
2007-07,9.2220,
2007-08,9.3935,
2007-09,9.2465,
2007-10,9.2280,
2007-11,9.4235,
2007-12,9.5085,
2008-01,9.4710,
2008-02,9.4175,
2008-03,9.4270,
2008-04,9.4020,
2008-05,9.3725,
2008-06,9.4880,
2008-07,9.4935,
2008-08,9.4765,
2008-09,9.7980,
2008-10,9.9090,
2008-11,10.3475,
2008-12,10.9705,
2009-01,10.6550,
2009-02,11.4930,
2009-03,11.0115,
2009-04,10.6980,
2009-05,10.7660,
2009-06,10.8805,
2009-07,10.4325,
2009-08,10.2240,
2009-09,10.2700,
2009-10,10.4235,
2009-11,10.4970,
2009-12,10.3880,
2010-01,10.2770,
2010-02,9.7665,
2010-03,9.7735,
2010-04,9.6440,
2010-05,9.6675,
2010-06,9.5355,
2010-07,9.4845,
2010-08,9.4365,
2010-09,9.1950,
2010-10,9.4335,
2010-11,9.2185,
2010-12,9.0370,
2011-01,8.9330,
2011-02,8.8530,
2011-03,8.9730,
2011-04,8.9460,
2011-05,8.9180,
2011-06,9.1817,
2011-07,9.1263,
2011-08,9.2030,
2011-09,9.3038,
2011-10,9.0591,
2011-11,9.2264,
2011-12,8.9797,
2012-01,8.9325,
2012-02,8.8645,
2012-03,8.8786,
2012-04,8.9354,
2012-05,9.0088,
2012-06,8.8010,
2012-07,8.3810,
2012-08,8.3865,
2012-09,8.4734,
2012-10,8.6542,
2012-11,8.6901,
2012-12,8.6516,
2013-01,8.6570,
2013-02,8.4904,
2013-03,8.3731,
2013-04,8.6103,
2013-05,8.6142,
2013-06,8.7927,
2013-07,8.7456,
2013-08,8.7628,
2013-09,8.7107,
2013-10,8.8375,
2013-11,8.9725,
2013-12,8.9780,
2014-01,8.8816,
2014-02,8.9360,
2014-03,8.9832,
2014-04,9.1024,
2014-05,9.0966,
2014-06,9.2315,
2014-07,9.2634,
2014-08,9.2179,
2014-09,9.2165,
2014-10,9.2714,
2014-11,9.3043,
2014-12,9.5505,
2015-01,9.4123,
2015-02,9.4184,
"","Source: Skandinaviska Enskilda Banken, Stockholm",
