"",BBFB1.Q.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N,BBFB1.Q.Y.DE.W1.S1.S1.T.D.FT___CIF._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Foreign trade additions incl. CIF / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:43,
1991-01,-5.75,
1991-04,-6.01,
1991-07,-5.87,
1991-10,-5.59,
1992-01,-6.14,
1992-04,-5.77,
1992-07,-5.83,
1992-10,-6.28,
1993-01,-5.60,
1993-04,-6.20,
1993-07,-6.76,
1993-10,-6.82,
1994-01,-7.10,
1994-04,-6.93,
1994-07,-7.45,
1994-10,-7.16,
1995-01,-7.60,
1995-04,-7.14,
1995-07,-7.35,
1995-10,-7.05,
1996-01,-7.68,
1996-04,-7.62,
1996-07,-8.15,
1996-10,-7.95,
1997-01,-8.19,
1997-04,-8.50,
1997-07,-8.40,
1997-10,-9.01,
1998-01,-9.35,
1998-04,-9.34,
1998-07,-9.16,
1998-10,-9.91,
1999-01,-7.29,
1999-04,-9.10,
1999-07,-8.37,
1999-10,-8.84,
2000-01,-9.87,
2000-04,-10.95,
2000-07,-10.26,
2000-10,-9.81,
2001-01,-11.00,
2001-04,-11.34,
2001-07,-11.47,
2001-10,-12.15,
2002-01,-13.03,
2002-04,-11.91,
2002-07,-12.88,
2002-10,-11.96,
2003-01,-12.06,
2003-04,-11.89,
2003-07,-11.15,
2003-10,-10.58,
2004-01,-10.83,
2004-04,-10.82,
2004-07,-10.45,
2004-10,-10.64,
2005-01,-11.89,
2005-04,-11.25,
2005-07,-11.59,
2005-10,-11.05,
2006-01,-12.40,
2006-04,-13.07,
2006-07,-14.53,
2006-10,-15.15,
2007-01,-11.43,
2007-04,-11.42,
2007-07,-11.00,
2007-10,-12.84,
2008-01,-11.14,
2008-04,-10.45,
2008-07,-11.04,
2008-10,-11.35,
2009-01,-9.83,
2009-04,-9.81,
2009-07,-10.01,
2009-10,-9.00,
2010-01,-11.77,
2010-04,-12.17,
2010-07,-11.42,
2010-10,-11.24,
2011-01,-10.57,
2011-04,-9.46,
2011-07,-12.12,
2011-10,-10.88,
2012-01,-8.77,
2012-04,-8.90,
2012-07,-9.98,
2012-10,-9.28,
2013-01,-9.00,
2013-04,-11.31,
2013-07,-5.04,
2013-10,-8.19,
2014-01,-11.01,
2014-04,-8.38,Provisional value
2014-07,-8.38,Provisional value
2014-10,-6.96,Provisional value
