"",BBK01.CEF0N0,BBK01.CEF0N0_FLAGS
"",Total liabilities                                       debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:32,
1999-01,2411.9,
1999-04,2541.9,
1999-07,2581.3,
1999-10,2725.4,
2000-01,2888.2,
2000-04,2980.5,
2000-07,3166.6,
2000-10,3260.0,
2001-01,3408.4,
2001-04,3505.4,
2001-07,3517.5,
2001-10,3686.4,
2002-01,3775.1,
2002-04,3726.8,
2002-07,3796.6,
2002-10,3780.7,
2003-01,3900.2,
2003-04,4025.9,
2003-07,3958.2,
2003-10,3945.8,
2004-01,4165.8,
2004-04,4121.1,
2004-07,4219.2,
2004-10,4272.7,
2005-01,4529.6,
2005-04,4739.0,
2005-07,4889.9,
2005-10,5040.7,
2006-01,5329.1,
2006-04,5347.5,
2006-07,5456.5,
2006-10,5532.3,
2007-01,5778.8,
2007-04,6059.6,
2007-07,6160.1,
2007-10,6231.8,
2008-01,6450.2,
2008-04,6417.9,
2008-07,6655.8,
2008-10,6510.5,
2009-01,6519.9,
2009-04,6078.2,
2009-07,6055.0,
2009-10,6067.6,
2010-01,6315.4,
2010-04,6757.9,
2010-07,6672.0,
2010-10,6431.0,
2011-01,6236.8,
2011-04,6264.1,
2011-07,6846.9,
2011-10,6794.7,
2012-01,7027.2,
2012-04,7311.7,
2012-07,7352.0,
2012-10,7280.3,
2013-01,7201.6,
2013-04,7042.9,
2013-07,6964.4,
2013-10,6879.4,
2014-01,6967.3,
2014-04,7159.8,
2014-07,7413.5,
