"",BBK01.OEAE09G,BBK01.OEAE09G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:51,
2002-01,8.427,
2002-04,8.735,
2002-07,8.440,
2002-10,8.639,
2003-01,8.600,
2003-04,8.671,
2003-07,9.380,
2003-10,8.817,
2004-01,8.707,
2004-04,8.550,
2004-07,8.266,
2004-10,8.217,
2005-01,8.480,
2005-04,8.483,
2005-07,8.285,
2005-10,8.426,
2006-01,8.055,
2006-04,8.032,
2006-07,8.227,
2006-10,8.041,
2007-01,7.986,
2007-04,7.960,
2007-07,8.016,
2007-10,8.297,
2008-01,8.171,
2008-04,8.102,
2008-07,8.316,
2008-10,7.996,
2009-01,7.352,
2009-04,7.188,
2009-07,7.351,
2009-10,7.052,
2010-01,6.261,
2010-04,6.213,
2010-07,6.208,
2010-10,6.196,
2011-01,6.007,
2011-04,5.819,
2011-07,5.868,
2011-10,5.960,
2012-01,5.792,
2012-04,5.826,
2012-07,6.090,
2012-10,5.982,
2013-01,5.544,
2013-04,5.697,
2013-07,5.352,
2013-10,5.421,
2014-01,5.497,
2014-04,5.504,
2014-07,5.437,
