"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.US.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.US.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / United States,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:42,
2009-09,4713,
2009-10,4535,
2009-11,4452,
2009-12,4528,
2010-01,4583,
2010-02,4598,
2010-03,4695,
2010-04,4739,
2010-05,4947,
2010-06,5032,
2010-07,4953,
2010-08,5112,
2010-09,5045,
2010-10,4981,
2010-11,5048,
2010-12,4974,
2011-01,5027,
2011-02,4994,
2011-03,4733,
2011-04,4433,
2011-05,4369,
2011-06,4164,
2011-07,3980,
2011-08,3868,
2011-09,3651,
2011-10,3522,
2011-11,3447,
2011-12,3569,
2012-01,3600,
2012-02,3561,
2012-03,3525,
2012-04,3508,
2012-05,3681,
2012-06,3632,
2012-07,3691,
2012-08,3842,
2012-09,3899,
2012-10,3785,
2012-11,3802,
2012-12,3786,
2013-01,3778,
2013-02,3765,
2013-03,3801,
2013-04,3802,
2013-05,3795,
2013-06,3721,
2013-07,3852,
2013-08,3908,
2013-09,3803,
2013-10,3757,
2013-11,3697,
2013-12,3809,
2014-01,3834,
2014-02,3934,
2014-03,3804,
2014-04,3806,
2014-05,3815,
2014-06,3953,
2014-07,3984,
2014-08,4005,
2014-09,4263,
2014-10,4321,
2014-11,4644,
