"",BBK01.SQ1622,BBK01.SQ1622_FLAGS
"",Interest and repayments received on building loans / Repayments during quarter / All building and loan associations,
unit,DM (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:44:50,
1974-01,0.711,
1974-04,0.768,
1974-07,0.782,
1974-10,0.921,
1975-01,0.843,
1975-04,0.959,
1975-07,0.984,
1975-10,1.123,
1976-01,1.051,
1976-04,1.094,
1976-07,1.175,
1976-10,1.298,
1977-01,1.161,
1977-04,1.244,
1977-07,1.311,
1977-10,1.494,
1978-01,1.444,
1978-04,1.512,
1978-07,1.525,
1978-10,1.584,
1979-01,1.499,
1979-04,1.491,
1979-07,1.488,
1979-10,1.593,
1980-01,1.509,
1980-04,1.457,
1980-07,1.572,
1980-10,1.773,
1981-01,1.643,
1981-04,1.611,
1981-07,1.804,
1981-10,1.825,
1982-01,1.756,
1982-04,1.871,
1982-07,1.910,
1982-10,2.153,
1983-01,1.906,
1983-04,2.115,
1983-07,2.281,
1983-10,2.376,
1984-01,2.129,
1984-04,2.236,
1984-07,2.208,
1984-10,2.492,
1985-01,2.290,
1985-04,2.314,
1985-07,2.391,
1985-10,3.287,
1986-01,2.507,
1986-04,2.512,
1986-07,2.611,
1986-10,2.869,
1987-01,2.737,
1987-04,2.719,
1987-07,2.784,
1987-10,2.947,
1988-01,2.799,
1988-04,2.807,
1988-07,2.786,
1988-10,4.325,
1989-01,3.236,
1989-04,2.635,
1989-07,2.559,
1989-10,2.659,
1990-01,2.490,
1990-04,2.415,
1990-07,2.443,
1990-10,2.539,
1991-01,2.475,
1991-04,2.707,
1991-07,2.641,
1991-10,2.886,
1992-01,2.603,
1992-04,2.627,
1992-07,2.618,
1992-10,2.326,
1993-01,2.580,
1993-04,2.781,
1993-07,2.850,
1993-10,2.689,
1994-01,2.942,
1994-04,2.976,
1994-07,2.960,
1994-10,2.561,
1995-01,2.793,
1995-04,2.929,
1995-07,2.980,
1995-10,2.702,
1996-01,3.091,
1996-04,3.157,
1996-07,3.143,
1996-10,3.033,
1997-01,3.140,
1997-04,3.343,
1997-07,3.193,
1997-10,3.181,
1998-01,3.193,
1998-04,3.326,
1998-07,3.325,
1998-10,3.525,
1999-01,1.908,
1999-04,1.938,
1999-07,1.671,
1999-10,1.720,
2000-01,1.582,
2000-04,1.436,
2000-07,1.437,
2000-10,1.593,
2001-01,1.420,
2001-04,1.429,
2001-07,1.456,
2001-10,1.747,
2002-01,1.451,
2002-04,1.398,
2002-07,1.349,
2002-10,1.547,
2003-01,1.492,
2003-04,1.496,
2003-07,1.500,
2003-10,1.617,
2004-01,1.398,
2004-04,1.380,
2004-07,1.339,
2004-10,1.520,
2005-01,1.363,
2005-04,1.416,
2005-07,1.478,
2005-10,1.615,
2006-01,1.299,
2006-04,1.175,
2006-07,1.093,
2006-10,1.274,
2007-01,1.072,
2007-04,1.046,
2007-07,1.024,
2007-10,1.166,
2008-01,1.009,
2008-04,1.035,
2008-07,1.019,
2008-10,1.220,
2009-01,1.103,
2009-04,1.177,
2009-07,1.160,
2009-10,1.333,
2010-01,1.115,
2010-04,1.230,
2010-07,1.237,
2010-10,1.330,
2011-01,1.197,
2011-04,1.112,
2011-07,1.237,
2011-10,1.209,
2012-01,1.199,
2012-04,1.256,
2012-07,1.336,
2012-10,1.372,
2013-01,1.255,
2013-04,1.273,
2013-07,1.252,
2013-10,1.045,
2014-01,1.082,
2014-04,1.074,
2014-07,1.074,
2014-10,.,Value available later
