"",BBK01.OELB15P,BBK01.OELB15P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:49,
2002-01,0.113,
2002-04,0.111,
2002-07,0.107,
2002-10,0.105,
2003-01,0.102,
2003-04,0.099,
2003-07,0.095,
2003-10,0.096,
2004-01,0.091,
2004-04,0.082,
2004-07,0.076,
2004-10,0.072,
2005-01,0.071,
2005-04,0.069,
2005-07,0.067,
2005-10,0.066,
2006-01,0.064,
2006-04,0.062,
2006-07,0.061,
2006-10,0.062,
2007-01,0.059,
2007-04,0.060,
2007-07,0.059,
2007-10,0.061,
2008-01,0.060,
2008-04,0.060,
2008-07,0.060,
2008-10,0.059,
2009-01,0.058,
2009-04,0.057,
2009-07,0.057,
2009-10,0.058,
2010-01,0.061,
2010-04,0.061,
2010-07,0.061,
2010-10,0.059,
2011-01,0.058,
2011-04,0.057,
2011-07,0.059,
2011-10,0.059,
2012-01,0.059,
2012-04,0.085,
2012-07,0.088,
2012-10,0.089,
2013-01,0.091,
2013-04,0.093,
2013-07,0.079,
2013-10,0.079,
2014-01,0.077,
2014-04,0.077,
2014-07,0.072,
