"",BBSF2.M.1.S.I0000.GEF01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.GEF01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Domestic investors total / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:37,
2004-01,669,
2004-02,674,
2004-03,673,
2004-04,770,
2004-05,767,
2004-06,819,
2004-07,819,
2004-08,826,
2004-09,867,
2004-10,871,
2004-11,967,
2004-12,1475,
2005-01,2776,
2005-02,4936,
2005-03,9353,
2005-04,9793,
2005-05,10860,
2005-06,11538,
2005-07,13868,
2005-08,15776,
2005-09,19347,
2005-10,22201,
2005-11,27154,
2005-12,33929,
2006-01,42147,
2006-02,43756,
2006-03,44832,
2006-04,47409,
2006-05,49808,
2006-06,55803,
2006-07,56559,
2006-08,60032,
2006-09,62722,
2006-10,63144,
2006-11,63994,
2006-12,64569,
2007-01,66025,
2007-02,67849,
2007-03,67752,
2007-04,64759,
2007-05,66849,
2007-06,69129,
2007-07,68504,
2007-08,67964,
2007-09,68347,
2007-10,73892,
2007-11,73059,
2007-12,66664,
2008-01,65584,
2008-02,65601,
2008-03,64165,
2008-04,65550,
2008-05,67099,
2008-06,64473,
2008-07,75699,
2008-08,77222,
2008-09,76313,
2008-10,72866,
2008-11,75446,
2008-12,75349,
2009-01,77836,
2009-02,76784,
2009-03,77939,
2009-04,97577,
2009-05,117545,
2009-06,118792,
2009-07,123065,
2009-08,125593,
2009-09,140603,
2009-10,141089,
2009-11,141296,
2009-12,141303,
2010-01,144434,
2010-02,145877,
2010-03,148085,
2010-04,152394,
2010-05,155262,
2010-06,154558,
2010-07,158249,
2010-08,161457,
2010-09,165546,
2010-10,166304,
2010-11,164840,
2010-12,158706,
2011-01,158394,
2011-02,159284,
2011-03,158540,
2011-04,161908,
2011-05,162775,
2011-06,162011,
2011-07,164700,
2011-08,161314,
2011-09,160666,
2011-10,162470,
2011-11,161806,
2011-12,163883,
2012-01,168541,
2012-02,177686,
2012-03,178136,
2012-04,181866,
2012-05,180949,
2012-06,184913,
2012-07,190107,
2012-08,191879,
2012-09,192812,
2012-10,193841,
2012-11,194362,
2012-12,195618,
2013-01,197405,
2013-02,198637,
2013-03,198805,
2013-04,202063,
2013-05,200454,
2013-06,196677,
2013-07,203144,
2013-08,201409,
2013-09,205147,
2013-10,209956,
2013-11,210714,
2013-12,208471,
2014-01,209699,
2014-02,213601,
2014-03,214605,
2014-04,217260,
2014-05,221066,
2014-06,222898,
2014-07,221898,
2014-08,203197,
2014-09,203932,
2014-10,215570,
2014-11,220787,
