"",BBK01.OEHK01K,BBK01.OEHK01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:24,
2002-01,0.923,
2002-04,0.938,
2002-07,0.999,
2002-10,1.199,
2003-01,1.188,
2003-04,1.152,
2003-07,1.174,
2003-10,1.134,
2004-01,1.026,
2004-04,0.956,
2004-07,1.228,
2004-10,0.934,
2005-01,0.995,
2005-04,0.950,
2005-07,0.935,
2005-10,1.044,
2006-01,1.050,
2006-04,1.088,
2006-07,1.111,
2006-10,1.314,
2007-01,1.313,
2007-04,1.319,
2007-07,1.339,
2007-10,1.452,
2008-01,1.334,
2008-04,1.349,
2008-07,1.323,
2008-10,1.625,
2009-01,1.975,
2009-04,1.884,
2009-07,1.925,
2009-10,1.968,
2010-01,1.963,
2010-04,2.018,
2010-07,2.100,
2010-10,2.083,
2011-01,2.030,
2011-04,2.029,
2011-07,2.078,
2011-10,2.170,
2012-01,2.209,
2012-04,2.230,
2012-07,2.277,
2012-10,2.335,
2013-01,2.242,
2013-04,2.327,
2013-07,2.389,
2013-10,2.416,
2014-01,2.428,
2014-04,2.468,
2014-07,2.524,
