"",BBK01.OEAI08P,BBK01.OEAI08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:54,
2002-01,7.058,
2002-04,6.908,
2002-07,6.713,
2002-10,6.918,
2003-01,7.150,
2003-04,7.244,
2003-07,7.278,
2003-10,7.548,
2004-01,7.613,
2004-04,7.675,
2004-07,7.679,
2004-10,7.775,
2005-01,8.089,
2005-04,8.089,
2005-07,8.063,
2005-10,8.177,
2006-01,8.085,
2006-04,8.012,
2006-07,7.878,
2006-10,7.945,
2007-01,7.817,
2007-04,7.676,
2007-07,7.501,
2007-10,7.492,
2008-01,7.310,
2008-04,7.213,
2008-07,6.992,
2008-10,7.081,
2009-01,7.136,
2009-04,7.164,
2009-07,7.289,
2009-10,7.462,
2010-01,7.649,
2010-04,7.760,
2010-07,7.826,
2010-10,8.028,
2011-01,8.096,
2011-04,8.142,
2011-07,8.087,
2011-10,8.194,
2012-01,8.241,
2012-04,8.181,
2012-07,8.157,
2012-10,8.327,
2013-01,8.222,
2013-04,8.167,
2013-07,8.074,
2013-10,8.093,
2014-01,8.048,
2014-04,7.945,
2014-07,7.846,
