"",BBFN1.M.DE.N.1.L.NL.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.NL.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:53,
1994-12,20.224,
1995-01,20.352,
1995-02,20.640,
1995-03,21.227,
1995-04,21.000,
1995-05,21.172,
1995-06,20.573,
1995-07,20.674,
1995-08,20.536,
1995-09,21.005,
1995-10,21.178,
1995-11,21.157,
1995-12,20.293,
1996-01,19.941,
1996-02,20.449,
1996-03,20.601,
1996-04,20.262,
1996-05,20.250,
1996-06,20.376,
1996-07,19.940,
1996-08,20.131,
1996-09,20.600,
1996-10,20.725,
1996-11,21.154,
1996-12,20.991,
1997-01,20.386,
1997-02,21.140,
1997-03,21.747,
1997-04,22.277,
1997-05,21.919,
1997-06,21.777,
1997-07,22.207,
1997-08,22.770,
1997-09,24.110,
1997-10,24.550,
1997-11,24.464,
1997-12,26.872,
1998-01,25.345,
1998-02,25.662,
1998-03,26.732,
1998-04,26.785,
1998-05,28.789,
1998-06,28.698,
1998-07,30.969,
1998-08,29.956,
1998-09,30.619,
1998-10,31.474,
1998-11,30.929,
1998-12,31.842,
1999-01,31.214,
1999-02,31.399,
1999-03,31.938,
1999-04,34.209,
1999-05,39.062,
1999-06,41.367,
1999-07,43.688,
1999-08,44.180,
1999-09,46.535,
1999-10,48.238,
1999-11,50.051,
1999-12,57.613,
2000-01,55.521,
2000-02,59.585,
2000-03,62.058,
2000-04,62.213,
2000-05,62.721,
2000-06,70.204,
2000-07,86.556,
2000-08,98.065,
2000-09,104.342,
2000-10,105.652,
2000-11,104.379,
2000-12,101.126,
2001-01,100.918,
2001-02,101.977,
2001-03,103.506,
2001-04,102.682,
2001-05,104.597,
2001-06,108.917,
2001-07,117.802,
2001-08,117.330,
2001-09,120.544,
2001-10,121.231,
2001-11,122.911,
2001-12,125.359,
2002-01,129.071,
2002-02,133.531,
2002-03,138.592,
2002-04,145.488,
2002-05,164.541,
2002-06,164.934,
2002-07,164.933,
2002-08,164.407,
2002-09,164.916,
2002-10,167.326,
2002-11,168.266,
2002-12,162.670,
2003-01,159.620,
2003-02,162.594,
2003-03,162.845,
2003-04,167.081,
2003-05,170.491,
2003-06,173.991,
2003-07,173.652,
2003-08,174.396,
2003-09,171.573,
2003-10,171.882,
2003-11,175.802,
2003-12,174.254,
2004-01,176.570,
2004-02,173.339,
2004-03,178.129,
2004-04,176.613,
2004-05,182.940,
2004-06,183.022,
2004-07,181.870,
2004-08,181.566,
2004-09,173.241,
2004-10,168.994,
2004-11,167.189,
2004-12,165.082,
2005-01,166.888,
2005-02,167.552,
2005-03,167.034,
2005-04,166.826,
2005-05,170.445,
2005-06,168.976,
2005-07,164.064,
2005-08,162.733,
2005-09,162.356,
2005-10,167.555,
2005-11,168.346,
2005-12,168.344,
2006-01,166.123,
2006-02,169.365,
2006-03,170.813,
2006-04,172.431,
2006-05,176.192,
2006-06,175.931,
2006-07,169.158,
2006-08,172.172,
2006-09,179.227,
2006-10,179.456,
2006-11,182.625,
2006-12,178.673,
2007-01,180.873,
2007-02,177.217,
2007-03,177.760,
2007-04,178.571,
2007-05,178.030,
2007-06,178.523,
2007-07,190.974,
2007-08,196.299,
2007-09,189.823,
2007-10,192.609,
2007-11,188.585,
2007-12,181.056,
2008-01,178.845,
2008-02,178.125,
2008-03,178.932,
2008-04,185.815,
2008-05,183.761,
2008-06,181.688,
2008-07,178.411,
2008-08,178.173,
2008-09,187.255,
2008-10,173.562,
2008-11,172.866,
2008-12,176.804,
2009-01,182.735,
2009-02,192.265,
2009-03,193.955,
2009-04,196.840,
2009-05,196.124,
2009-06,198.980,
2009-07,202.773,
2009-08,201.996,
2009-09,202.077,
2009-10,205.909,
2009-11,206.350,
2009-12,205.469,
2010-01,196.886,
2010-02,197.279,
2010-03,201.433,
2010-04,203.291,
2010-05,201.849,
2010-06,198.961,
2010-07,199.004,
2010-08,202.274,
2010-09,206.950,
2010-10,203.815,
2010-11,202.915,
2010-12,212.961,
2011-01,204.589,
2011-02,202.323,
2011-03,203.761,
2011-04,204.507,
2011-05,208.690,
2011-06,214.236,
2011-07,218.127,
2011-08,216.313,
2011-09,220.236,
2011-10,213.628,
2011-11,213.506,
2011-12,227.490,
2012-01,222.946,
2012-02,221.868,
2012-03,220.821,
2012-04,221.846,
2012-05,222.936,
2012-06,229.359,
2012-07,226.553,
2012-08,225.842,
2012-09,230.441,
2012-10,230.633,
2012-11,232.330,
2012-12,239.215,
2013-01,232.810,
2013-02,226.308,
2013-03,233.642,
2013-04,247.160,
2013-05,251.855,
2013-06,250.914,
2013-07,253.574,
2013-08,251.372,
2013-09,255.082,
2013-10,251.881,
2013-11,249.795,
2013-12,254.342,
2014-01,244.915,
2014-02,245.234,
2014-03,248.390,
2014-04,247.474,
2014-05,250.893,
2014-06,257.905,
2014-07,250.847,
2014-08,251.157,
2014-09,244.785,
2014-10,245.005,
2014-11,249.617,
2014-12,232.199,
