"",BBK01.OEAC34J,BBK01.OEAC34J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:14,
2002-01,0.081,
2002-04,0.079,
2002-07,0.058,
2002-10,0.055,
2003-01,0.052,
2003-04,0.051,
2003-07,0.047,
2003-10,0.045,
2004-01,0.040,
2004-04,0.042,
2004-07,0.042,
2004-10,0.040,
2005-01,0.034,
2005-04,0.033,
2005-07,0.033,
2005-10,0.030,
2006-01,0.028,
2006-04,0.036,
2006-07,0.031,
2006-10,0.031,
2007-01,0.030,
2007-04,0.030,
2007-07,0.030,
2007-10,0.031,
2008-01,0.026,
2008-04,0.028,
2008-07,0.025,
2008-10,0.036,
2009-01,0.055,
2009-04,0.063,
2009-07,0.060,
2009-10,0.062,
2010-01,0.026,
2010-04,0.046,
2010-07,0.039,
2010-10,0.039,
2011-01,0.036,
2011-04,0.037,
2011-07,0.040,
2011-10,0.046,
2012-01,0.048,
2012-04,0.057,
2012-07,0.052,
2012-10,0.048,
2013-01,0.045,
2013-04,0.058,
2013-07,0.056,
2013-10,0.055,
2014-01,0.038,
2014-04,0.042,
2014-07,0.057,
