"",BBK01.CELM0N,BBK01.CELM0N_FLAGS
"",Currency                                                           debtor: Total            creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:55,
1999-01,1.7,
1999-04,-0.1,
1999-07,0.8,
1999-10,1.5,
2000-01,-1.4,
2000-04,0.4,
2000-07,-0.3,
2000-10,-0.9,
2001-01,-0.1,
2001-04,-0.3,
2001-07,-1.4,
2001-10,-6.6,
2002-01,-22.9,
2002-04,0.5,
2002-07,-2.0,
2002-10,2.6,
2003-01,-3.1,
2003-04,0.8,
2003-07,-1.1,
2003-10,3.7,
2004-01,-6.0,
2004-04,1.1,
2004-07,-2.3,
2004-10,2.7,
2005-01,-0.2,
2005-04,4.0,
2005-07,0.9,
2005-10,5.4,
2006-01,0.1,
2006-04,3.6,
2006-07,1.7,
2006-10,6.3,
2007-01,0.8,
2007-04,6.0,
2007-07,4.0,
2007-10,4.7,
2008-01,4.1,
2008-04,6.7,
2008-07,4.8,
2008-10,9.3,
2009-01,-13.4,
2009-04,3.0,
2009-07,3.2,
2009-10,1.2,
2010-01,1.7,
2010-04,4.5,
2010-07,0.5,
2010-10,2.2,
2011-01,0.5,
2011-04,5.3,
2011-07,3.7,
2011-10,5.3,
2012-01,-0.6,
2012-04,5.2,
2012-07,0.3,
2012-10,-2.1,
2013-01,-3.8,
2013-04,1.3,
2013-07,-2.4,
2013-10,4.5,
2014-01,-14.9,
2014-04,1.1,
2014-07,-1.6,
