"",BBK01.CEL70C,BBK01.CEL70C_FLAGS
"",Other accounts receivable                                              debtor: Total            creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:18,
1999-01,4.5,
1999-04,-5.4,
1999-07,-1.7,
1999-10,13.0,
2000-01,19.0,
2000-04,-9.1,
2000-07,19.3,
2000-10,-30.3,
2001-01,6.1,
2001-04,-5.9,
2001-07,1.8,
2001-10,-3.2,
2002-01,7.6,
2002-04,-10.7,
2002-07,9.8,
2002-10,-9.9,
2003-01,6.0,
2003-04,-12.3,
2003-07,-2.9,
2003-10,8.9,
2004-01,17.5,
2004-04,-8.9,
2004-07,-0.8,
2004-10,-0.6,
2005-01,1.0,
2005-04,-5.2,
2005-07,2.1,
2005-10,-3.7,
2006-01,9.7,
2006-04,-16.6,
2006-07,-1.7,
2006-10,-2.2,
2007-01,13.9,
2007-04,-6.4,
2007-07,-1.1,
2007-10,0.4,
2008-01,5.8,
2008-04,-9.8,
2008-07,6.6,
2008-10,0.2,
2009-01,14.5,
2009-04,-9.5,
2009-07,-1.1,
2009-10,-3.2,
2010-01,-3.1,
2010-04,-7.8,
2010-07,-25.8,
2010-10,36.1,
2011-01,5.1,
2011-04,-2.1,
2011-07,3.3,
2011-10,-8.1,
2012-01,4.9,
2012-04,-3.0,
2012-07,13.7,
2012-10,-17.5,
2013-01,12.8,
2013-04,-8.1,
2013-07,-2.5,
2013-10,3.3,
2014-01,-7.4,
2014-04,-1.7,
2014-07,4.2,
