"",BBK01.OELM01K,BBK01.OELM01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:27,
2002-01,0.004,
2002-04,0.004,
2002-07,0.004,
2002-10,0.004,
2003-01,0.005,
2003-04,0.005,
2003-07,0.007,
2003-10,0.009,
2004-01,0.009,
2004-04,0.141,
2004-07,0.176,
2004-10,0.128,
2005-01,0.355,
2005-04,0.249,
2005-07,0.376,
2005-10,0.336,
2006-01,0.596,
2006-04,0.629,
2006-07,0.827,
2006-10,0.728,
2007-01,1.105,
2007-04,0.870,
2007-07,0.520,
2007-10,0.530,
2008-01,0.533,
2008-04,0.435,
2008-07,0.525,
2008-10,0.538,
2009-01,0.102,
2009-04,0.063,
2009-07,0.083,
2009-10,0.079,
2010-01,0.034,
2010-04,0.130,
2010-07,0.169,
2010-10,0.118,
2011-01,0.198,
2011-04,0.071,
2011-07,0.069,
2011-10,0.064,
2012-01,0.045,
2012-04,0.069,
2012-07,0.044,
2012-10,0.041,
2013-01,0.036,
2013-04,0.177,
2013-07,0.096,
2013-10,0.062,
2014-01,0.050,
2014-04,0.123,
2014-07,0.237,
