"",BBK01.OEAH87V,BBK01.OEAH87V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:32:16,
2002-01,5.234,
2002-04,3.534,
2002-07,3.198,
2002-10,6.291,
2003-01,2.726,
2003-04,3.153,
2003-07,3.460,
2003-10,2.436,
2004-01,2.810,
2004-04,2.874,
2004-07,2.723,
2004-10,2.572,
2005-01,2.282,
2005-04,2.746,
2005-07,2.031,
2005-10,1.856,
2006-01,1.949,
2006-04,1.730,
2006-07,1.933,
2006-10,1.942,
2007-01,2.008,
2007-04,1.962,
2007-07,2.004,
2007-10,2.197,
2008-01,1.874,
2008-04,1.543,
2008-07,1.570,
2008-10,1.547,
2009-01,1.506,
2009-04,0.097,
2009-07,0.098,
2009-10,1.515,
2010-01,1.755,
2010-04,1.448,
2010-07,0.932,
2010-10,0.828,
2011-01,0.840,
2011-04,0.767,
2011-07,1.267,
2011-10,1.158,
2012-01,1.105,
2012-04,1.112,
2012-07,1.065,
2012-10,0.757,
2013-01,0.763,
2013-04,0.452,
2013-07,0.571,
2013-10,0.527,
2014-01,0.495,
2014-04,0.536,
2014-07,0.535,
