"",BBK01.OEAC35K,BBK01.OEAC35K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:22,
2002-01,0.789,
2002-04,0.751,
2002-07,0.712,
2002-10,0.678,
2003-01,0.635,
2003-04,0.593,
2003-07,0.577,
2003-10,0.598,
2004-01,0.537,
2004-04,0.591,
2004-07,0.659,
2004-10,0.579,
2005-01,0.591,
2005-04,0.635,
2005-07,0.640,
2005-10,0.641,
2006-01,0.689,
2006-04,0.690,
2006-07,0.681,
2006-10,0.660,
2007-01,0.556,
2007-04,0.538,
2007-07,0.595,
2007-10,0.545,
2008-01,0.563,
2008-04,0.739,
2008-07,0.668,
2008-10,0.711,
2009-01,0.733,
2009-04,0.799,
2009-07,0.850,
2009-10,0.751,
2010-01,1.119,
2010-04,0.877,
2010-07,0.964,
2010-10,0.896,
2011-01,0.948,
2011-04,0.856,
2011-07,0.960,
2011-10,0.847,
2012-01,0.839,
2012-04,0.810,
2012-07,0.838,
2012-10,0.696,
2013-01,0.736,
2013-04,0.915,
2013-07,0.890,
2013-10,1.104,
2014-01,0.904,
2014-04,1.084,
2014-07,1.024,
