"",BBK01.OEAF33M,BBK01.OEAF33M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:36,
2002-01,62.472,
2002-04,62.930,
2002-07,64.607,
2002-10,65.377,
2003-01,66.872,
2003-04,68.176,
2003-07,70.036,
2003-10,70.040,
2004-01,69.387,
2004-04,69.630,
2004-07,68.718,
2004-10,69.896,
2005-01,74.300,
2005-04,76.457,
2005-07,77.899,
2005-10,78.891,
2006-01,79.515,
2006-04,81.249,
2006-07,81.677,
2006-10,82.167,
2007-01,84.864,
2007-04,82.608,
2007-07,82.604,
2007-10,82.539,
2008-01,82.341,
2008-04,82.670,
2008-07,82.457,
2008-10,82.241,
2009-01,81.860,
2009-04,82.755,
2009-07,83.210,
2009-10,82.687,
2010-01,83.959,
2010-04,84.595,
2010-07,85.561,
2010-10,82.544,
2011-01,82.458,
2011-04,81.919,
2011-07,82.059,
2011-10,81.797,
2012-01,81.361,
2012-04,81.571,
2012-07,81.738,
2012-10,81.780,
2013-01,81.590,
2013-04,81.670,
2013-07,82.192,
2013-10,82.248,
2014-01,82.087,
2014-04,82.253,
2014-07,82.447,
