"",BBK01.TQ7015Q,BBK01.TQ7015Q_FLAGS
"",Deposit takers - Geographical distribution of loans to total loans - France                               FSI-I015,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:31,
2005-10,1.55,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,1.65,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,1.52,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1.62,
2009-01,1.82,
2009-04,1.85,
2009-07,1.87,
2009-10,1.83,
2010-01,1.84,
2010-04,2.06,
2010-07,2.07,
2010-10,1.90,
2011-01,1.51,
2011-04,1.66,
2011-07,1.70,
2011-10,1.40,
2012-01,1.50,
2012-04,1.50,
2012-07,1.60,
2012-10,1.60,
2013-01,1.70,
2013-04,1.70,
2013-07,1.70,
2013-10,1.50,
2014-01,1.60,
2014-04,1.70,
2014-07,1.70,
